,County_Name,2019_Median_AQI,2015_Median_AQI,2010_Median_AQI
464,"Benzie County, Michigan",36.0,39.0,41.0
465,"Berrien County, Michigan",39.0,42.0,44.0
466,"Cass County, Michigan",39.0,44.0,45.0
467,"Chippewa County, Michigan",32.0,36.0,31.0
468,"Clinton County, Michigan",35.0,39.0,42.0
469,"Genesee County, Michigan",38.0,40.0,43.0
470,"Huron County, Michigan",36.0,39.0,40.0
471,"Ingham County, Michigan",35.0,40.0,40.0
472,"Kalamazoo County, Michigan",38.0,41.0,44.0
473,"Kent County, Michigan",36.0,40.0,36.0
474,"Keweenaw County, Michigan",9.0,13.0,10.0
475,"Leelanau County, Michigan",,,
476,"Lenawee County, Michigan",39.0,42.0,44.0
477,"Macomb County, Michigan",38.0,43.0,44.0
478,"Mason County, Michigan",35.0,39.0,39.0
479,"Missaukee County, Michigan",35.0,37.0,34.0
480,"Monroe County, Michigan",16.0,33.0,35.0
481,"Muskegon County, Michigan",38.0,42.0,41.0
482,"Oakland County, Michigan",38.0,41.0,43.0
483,"Ottawa County, Michigan",35.0,42.0,42.0
484,"Saginaw County, Michigan",,,
485,"Schoolcraft County, Michigan",31.0,31.0,32.0
486,"St. Clair County, Michigan",37.0,40.0,40.0
487,"Tuscola County, Michigan",33.0,34.0,36.0
488,"Washtenaw County, Michigan",39.0,42.0,38.0
489,"Wayne County, Michigan",53.0,52.0,50.0
490,"Wexford County, Michigan",34.0,35.0,35.0
491,"Anoka County, Minnesota",37.0,37.0,45.0
492,"Carlton County, Minnesota",27.0,33.0,18.0
493,"Cass County, Minnesota",13.0,,17.0
494,"Dakota County, Minnesota",28.0,31.0,37.0
495,"Goodhue County, Minnesota",37.0,37.0,38.0
496,"Hennepin County, Minnesota",42.0,45.0,33.0
497,"Kandiyohi County, Minnesota",,,
498,"Lake County, Minnesota",27.0,29.0,27.0
499,"Mille Lacs County, Minnesota",32.0,33.0,33.0
500,"Olmsted County, Minnesota",36.0,36.0,42.0
501,"Ramsey County, Minnesota",30.0,33.0,38.0
502,"Rock County, Minnesota",,22.0,25.0
503,"Saint Louis County, Minnesota",34.0,36.0,38.0
504,"Scott County, Minnesota",36.0,32.0,36.0
505,"Stearns County, Minnesota",32.0,33.0,36.0
506,"Washington County, Minnesota",34.0,40.0,40.0
507,"Winona County, Minnesota",15.0,18.0,23.0
508,"Wright County, Minnesota",34.0,32.0,41.0
509,"Adams County, Mississippi",,,40.0
510,"Bolivar County, Mississippi",43.0,38.0,48.0
511,"DeSoto County, Mississippi",39.0,39.0,46.0
512,"Forrest County, Mississippi",35.0,38.0,48.0
513,"Grenada County, Mississippi",,26.0,39.0
514,"Hancock County, Mississippi",37.0,35.0,42.0
515,"Harrison County, Mississippi",41.0,38.0,47.0
516,"Hinds County, Mississippi",44.0,45.0,46.0
517,"Jackson County, Mississippi",39.0,33.0,38.0
518,"Jones County, Mississippi",,,52.0
519,"Lauderdale County, Mississippi",36.0,32.0,47.0
520,"Lee County, Mississippi",39.0,35.0,47.0
521,"Lowndes County, Mississippi",,,
522,"Madison County, Mississippi",,,
523,"Pearl River County, Mississippi",,,
524,"Rankin County, Mississippi",,,
525,"Scott County, Mississippi",,,
526,"Warren County, Mississippi",,,
527,"Yalobusha County, Mississippi",33.0,33.0,36.0
528,"Boone County, Missouri",38.0,38.0,40.0
529,"Buchanan County, Missouri",33.0,38.0,45.0
530,"Cass County, Missouri",37.0,40.0,45.0
531,"Cedar County, Missouri",39.0,35.0,46.0
532,"Clay County, Missouri",40.0,41.0,45.0
533,"Cooper County, Missouri",,,
534,"Greene County, Missouri",39.0,38.0,42.0
535,"Jackson County, Missouri",38.0,38.0,47.0
536,"Jasper County, Missouri",37.0,35.0,39.0
537,"Jefferson County, Missouri",39.0,46.0,48.0
538,"Maries County, Missouri",,,
539,"Mercer County, Missouri",,,
540,"Monroe County, Missouri",35.0,31.0,41.0
541,"Platte County, Missouri",,,
542,"Saint Charles County, Missouri",42.0,42.0,40.0
543,"Saint Louis County, Missouri",43.0,44.0,51.0
544,"Sainte Genevieve County, Missouri",38.0,39.0,41.0
545,"St. Louis City County, Missouri",47.0,48.0,56.0
546,"Stoddard County, Missouri",23.0,28.0,37.0
547,"Taney County, Missouri",20.0,34.0,41.0
548,"Big Horn County, Montana",,,
549,"Cascade County, Montana",21.0,26.0,29.0
550,"Fergus County, Montana",37.0,36.0,10.0
551,"Flathead County, Montana",37.0,42.0,41.0
552,"Gallatin County, Montana",25.0,22.0,28.0
553,"Glacier County, Montana",,,41.0
554,"Lake County, Montana",8.0,9.0,12.0
555,"Lewis and Clark County, Montana",40.0,41.0,25.0
