,State,County,2022_Median_AQI,2021_Median_AQI,2020_Median_AQI,2019_Median_AQI,2018_Median_AQI,2017_Median_AQI,2016_Median_AQI,2015_Median_AQI,2014_Median_AQI,2013_Median_AQI,2012_Median_AQI,2011_Median_AQI,2010_Median_AQI,2009_Median_AQI,2008_Median_AQI,2007_Median_AQI,2006_Median_AQI,2005_Median_AQI,2004_Median_AQI,2003_Median_AQI,2002_Median_AQI,2001_Median_AQI,2000_Median_AQI,1999_Median_AQI,1998_Median_AQI,1997_Median_AQI,1996_Median_AQI,1995_Median_AQI,1994_Median_AQI,1993_Median_AQI,1992_Median_AQI,1991_Median_AQI,1990_Median_AQI,1989_Median_AQI,1988_Median_AQI,1987_Median_AQI,1986_Median_AQI,1985_Median_AQI,1984_Median_AQI,1983_Median_AQI,1982_Median_AQI,1981_Median_AQI,1980_Median_AQI
476,Michigan,Lenawee,39.0,40.0,38.0,39.0,38.0,40.0,40.0,42.0,42.0,42.0,48.0,44.0,44.0,44.0,46.0,45.0,44.0,47.0,43.0,46,46.0,46.0,44.0,44.0,49.0,40.0,45.0,44.0,47.0,41.0,,,,,,,,,,,,,
477,Michigan,Macomb,41.0,43.0,36.0,38.0,39.0,39.0,42.0,43.0,41.0,41.0,44.0,42.0,44.0,43.0,44.0,43.0,31.0,38.0,32.0,34,35.0,37.0,31.0,33.0,31.0,32.0,32.0,32.0,34.0,30.0,24.0,30.0,30.0,31.0,31.0,29.0,29.0,28.0,30.0,31.0,34.0,33.0,34.0
478,Michigan,Mason,38.0,38.0,37.0,35.0,37.0,38.0,38.0,39.0,39.0,40.0,42.0,38.0,39.0,38.0,44.0,42.0,39.0,41.0,38.0,43,43.0,42.0,40.0,44.0,44.0,44.0,44.0,45.0,42.0,45.0,23.0,42.0,23.0,30.0,,,,,,,,,
479,Michigan,Missaukee,40.0,39.0,36.0,35.0,36.0,36.0,36.0,37.0,37.0,37.0,37.0,35.0,34.0,35.0,39.0,40.0,40.0,41.0,38.0,31,34.0,43.0,21.0,45.0,44.0,,,,,,,,,,,,,,,,,,
480,Michigan,Monroe,27.0,19.0,17.0,16.0,13.0,28.0,30.0,33.0,38.0,35.0,41.0,37.0,35.0,39.0,45.0,52.0,50.0,52.0,45.0,51,55.0,52.0,55.0,50.0,15.0,18.0,19.0,20.0,19.0,35.0,19.0,22.0,28.0,30.0,30.0,24.0,,,,,,,
481,Michigan,Muskegon,39.0,40.0,37.0,38.0,40.0,39.0,41.0,42.0,41.0,42.0,43.0,39.0,41.0,40.0,41.0,44.0,43.0,46.0,37.0,44,44.0,44.0,42.0,46.0,46.0,42.0,42.0,44.0,44.0,41.0,41.0,43.0,43.0,44.0,35.0,23.0,25.0,31.0,27.0,26.0,28.0,29.0,34.0
482,Michigan,Oakland,37.0,38.0,36.0,38.0,40.0,40.0,40.0,41.0,40.0,40.0,44.0,42.0,43.0,43.0,43.0,42.0,29.0,35.0,32.0,31,33.0,33.0,29.0,36.0,26.0,17.0,19.0,22.0,24.0,26.0,20.0,25.0,25.0,27.0,25.0,24.0,27.0,31.0,27.0,26.0,29.0,49.0,32.0
483,Michigan,Ottawa,39.0,44.0,33.0,35.0,39.0,40.0,41.0,42.0,43.0,41.0,44.0,40.0,42.0,40.0,43.0,47.0,44.0,48.0,41.0,44,45.0,47.0,43.0,46.0,44.0,41.0,41.0,39.0,44.0,,42.0,44.0,41.0,43.0,12.0,,,,,,,,
484,Michigan,Saginaw,,,,,,,,,,,,,,,,,,38.0,29.0,38,39.0,38.0,34.0,31.0,,,,9.0,18.0,17.0,21.0,25.0,19.0,20.0,18.0,9.0,8.0,11.0,11.0,14.0,20.0,25.0,40.0
485,Michigan,Schoolcraft,36.0,35.0,33.0,31.0,31.0,30.0,29.0,31.0,30.0,34.0,34.0,34.0,32.0,31.0,32.0,34.0,35.0,33.0,35.0,37,31.0,17.0,13.0,13.0,,,,,,,,,,,,,,,,,,,
486,Michigan,St. Clair,39.0,40.0,35.0,37.0,40.0,39.0,37.0,40.0,40.0,38.0,40.0,39.0,40.0,40.0,42.0,43.0,39.0,44.0,36.0,39,45.0,44.0,38.0,44.0,42.0,40.0,42.0,43.0,42.0,41.0,37.0,40.0,40.0,39.0,33.0,36.0,33.0,38.0,34.0,37.0,33.0,34.0,28.0
487,Michigan,Tuscola,37.0,34.0,32.0,33.0,35.0,33.0,34.0,34.0,34.0,34.0,34.0,36.0,36.0,33.0,35.0,36.0,34.0,35.0,33.0,33,32.0,33.0,33.0,36.0,35.0,35.0,31.0,37.0,35.0,33.0,33.0,36.0,37.0,,,,,,,,,,
488,Michigan,Washtenaw,40.0,40.0,38.0,39.0,40.0,40.0,40.0,42.0,43.0,37.0,40.0,38.0,38.0,35.0,38.0,40.0,39.0,43.0,38.0,39,41.0,42.0,42.0,41.0,40.0,31.0,35.0,39.0,36.0,34.0,33.0,35.0,36.0,44.0,47.0,44.0,37.0,38.0,35.0,40.0,44.0,29.0,33.0
489,Michigan,Wayne,54.0,53.0,48.0,53.0,51.0,52.0,53.0,52.0,53.0,49.0,53.0,49.0,50.0,46.0,50.0,56.0,54.0,59.0,58.0,61,61.0,64.0,62.0,52.0,45.0,49.0,46.0,43.0,48.0,44.0,40.0,44.0,47.0,51.0,52.0,45.0,44.0,42.0,47.0,49.0,48.0,52.0,58.0
490,Michigan,Wexford,38.0,34.0,33.0,34.0,35.0,35.0,34.0,35.0,35.0,34.0,33.0,35.0,35.0,31.0,34.0,36.0,35.0,37.0,34.0,36,35.0,35.0,29.0,,,,,,,,,,,,,,,,,,,,
491,Minnesota,Anoka,41.0,39.0,35.0,37.0,40.0,38.0,35.0,37.0,38.0,41.0,42.0,43.0,45.0,45.0,43.0,42.0,41.0,46.0,45.0,43,17.0,24.0,28.0,33.0,34.0,33.0,32.0,31.0,31.0,30.0,29.0,30.0,30.0,36.0,36.0,32.0,27.0,30.0,33.0,31.0,30.0,35.0,35.0
492,Minnesota,Carlton,30.0,31.0,24.0,27.0,26.0,28.0,29.0,33.0,31.0,33.0,32.0,32.0,18.0,33.0,31.0,30.0,30.0,35.0,25.0,16,16.0,20.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,11.0,11.0,14.0,,,,,,,,
