,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,Industry_2015,2015_Median_AQI
235,"481,178",737,"39,190","8,099","5,951","43,690","29,603","9,060","22,169","76,522","107,093","46,487","28,882","63,695",14.10%,50.0
236,"67,216",98,"5,632","6,373","1,577","8,272","5,053","1,315","3,605","7,021","13,125","5,598","2,642","6,905",10.70%,44.0
237,"104,949","1,470","9,439","4,019","1,804","16,724","3,945","1,414","6,609","12,992","21,877","11,447","7,702","5,507",12.10%,34.0
238,"63,926",470,"4,632","5,108",975,"7,539","1,700","1,673","3,469","6,643","18,884","7,025","3,796","2,012",16.00%,34.0
239,"277,429","1,466","20,444","32,340","9,710","36,608","9,840","4,684","15,291","22,601","74,625","27,385","11,222","11,213",13.80%,37.0
240,"397,040",766,"21,995","40,313","9,951","41,958","14,093","9,514","25,932","53,476","103,669","39,131","21,274","14,968",13.70%,37.0
241,"219,197","1,486","9,393","24,986","6,481","28,541","10,811","4,176","17,102","16,976","63,604","18,485","7,778","9,378",13.70%,39.0
242,"85,358",833,"1,974","4,675","1,795","9,798","2,941","1,825","4,163","6,179","37,429","7,534","3,198","3,014",15.20%,36.0
243,"864,950","1,479","43,856","86,043","15,184","70,387","23,082","28,804","61,549","154,613","245,858","69,541","37,252","27,302",15.40%,33.0
244,"370,381",598,"19,160","25,546","7,170","38,030","14,122","9,445","40,848","56,469","105,673","27,923","13,601","11,796",14.30%,37.0
245,"256,734","1,155","16,947","18,583","7,664","31,949","14,409","5,039","21,834","30,460","61,991","24,625","11,623","10,455",15.80%,36.0
246,"423,556",818,"17,209","19,087","8,014","38,493","17,839","9,923","33,927","66,971","128,588","47,551","18,644","16,492",19.80%,43.0
247,"407,572","1,780","21,859","51,742","10,245","49,774","14,331","7,326","26,091","43,403","114,039","35,158","17,877","13,947",11.30%,37.0
248,"53,267","1,518","4,468","15,141","1,316","6,198","1,779",487,"1,740","3,799","8,721","4,291","2,368","1,441",8.30%,41.0
249,"47,249",430,"3,089","6,775","1,401","7,226","2,125",814,"2,128","3,201","11,915","4,599","2,519","1,027",13.60%,33.0
250,"70,514",676,"3,694","14,496","1,555","8,356","3,522","1,059","3,380","5,190","16,192","7,912","3,035","1,447",17.10%,42.0
251,"37,811","1,194","2,158","4,228",686,"4,032","1,062",301,"3,487","4,094","9,178","3,180","1,096","3,115",9.70%,39.0
252,"168,901",772,"9,461","27,953","3,952","22,772","7,254","1,902","8,820","14,197","41,510","16,005","9,200","5,103",10.10%,40.0
253,"136,629",871,"4,403","13,157","2,642","15,213","5,173","2,185","9,744","13,024","41,359","14,019","6,340","8,499",11.20%,40.0
254,"130,471","1,027","4,798","21,167","2,661","13,842","3,517","1,459","7,953","12,220","38,297","14,646","4,872","4,012",14.10%,41.0
255,"323,479","4,135","15,134","61,598","13,051","39,269","12,136","4,980","18,125","31,728","70,505","29,427","16,417","6,974",8.90%,40.0
256,"41,947",771,"2,626","8,782",657,"4,709","1,451",490,"2,190","2,801","10,351","2,721","2,496","1,902",10.30%,42.0
257,"415,063",995,"22,998","87,836","10,766","48,026","15,452","4,970","24,914","39,605","86,192","39,956","19,337","14,016",9.60%,43.0
258,"69,299","1,328","4,048","15,503","1,392","6,406","4,340",485,"2,197","5,697","16,748","6,086","3,166","1,903",12.30%,33.0
259,"72,983",539,"4,118","19,560","1,487","8,715","1,676","1,055","1,746","5,141","15,659","7,363","3,338","2,586",10.90%,42.0
260,"626,676","1,645","27,037","113,156","16,915","61,867","18,462","13,009","45,262","88,446","142,585","57,367","24,303","16,622",11.80%,41.0
261,"141,505","1,642","7,200","35,879","5,084","14,982","4,762","1,827","6,692","10,991","29,284","12,384","7,186","3,592",10.00%,42.0
263,"71,745",608,"5,551","15,618","1,344","7,681","4,469",902,"2,721","3,660","15,044","6,910","3,427","3,810",11.80%,40.0
264,"181,977","1,072","6,340","18,416","2,807","17,851","5,569","3,926","6,436","21,370","67,910","18,718","7,214","4,348",11.10%,42.0
265,"712,421","2,340","28,536","121,790","17,430","81,992","44,365","11,232","41,394","77,506","157,889","72,599","32,771","22,577",13.70%,52.0
266,"187,249","1,132","13,011","28,397","4,796","19,391","10,256","3,353","15,806","17,242","44,684","13,453","9,324","6,404",9.20%,37.0
267,"228,936","1,534","11,255","26,995","7,508","24,977","15,750","5,114","23,124","27,048","45,348","21,582","9,584","9,117",9.20%,31.0
268,"681,944","2,656","28,112","78,494","20,505","75,309","24,180","13,336","67,544","101,632","162,184","62,521","30,214","15,257",11.50%,45.0
269,"79,896","1,762","3,184","7,134","1,316","8,129","2,459","1,524","2,685","5,968","35,455","5,110","3,347","1,823",14.10%,36.0
270,"278,389",937,"10,581","34,371","8,313","29,059","10,363","5,781","21,435","31,363","77,856","24,845","12,937","10,548",12.60%,33.0
271,"77,608",846,"6,342","11,481","3,031","8,594","4,077","1,291","6,292","7,184","15,384","7,563","3,938","1,585",9.10%,32.0
272,"85,722","2,506","6,691","12,074","2,145","11,045","3,596","1,304","4,004","6,873","22,866","6,666","3,942","2,010",9.10%,33.0
273,"133,637",557,"7,646","18,688","3,864","14,932","5,734","2,577","11,104","12,691","33,326","9,920","5,562","7,036",10.30%,40.0
274,"70,261","1,601","7,653","11,069","2,692","6,893","3,472","1,472","6,557","6,746","12,992","3,327","3,568","2,219",6.80%,32.0
275,"83,395",696,"5,041","7,622","4,451","9,696","10,420",794,"5,946","7,518","15,926","8,973","3,420","2,892",13.90%,39.0
277,"80,369",868,"6,755","5,554","2,285","10,541","4,192","1,093","3,144","5,986","16,124","12,973","3,915","6,939",11.10%,38.0
278,"102,646",607,"5,396","7,690","1,979","10,658","6,406","2,503","3,673","10,625","29,041","10,835","4,835","8,398",11.10%,45.0
285,"90,460",752,"3,815","5,842","1,735","11,263","3,115","2,032","7,976","7,807","31,814","8,330","2,691","3,288",5.60%,38.0
286,"43,442",383,"2,789","7,415",937,"4,356","2,279",749,"2,294","4,230","10,648","4,602","1,260","1,500",11.90%,38.0
287,"50,662",624,"4,189","5,629","1,326","6,012","3,062","1,260","3,261","5,109","10,043","4,578","2,546","3,023",10.00%,40.0
288,"122,645",821,"4,784","15,661","4,583","14,085","8,893","2,598","9,109","14,096","26,017","10,997","5,486","5,515",10.00%,41.0
289,"138,696",896,"8,023","12,685","3,542","17,116","6,115","3,201","9,558","14,523","37,646","14,109","7,633","3,649",9.20%,38.0
290,"337,144",738,"21,632","29,678","9,462","38,900","19,817","7,450","23,910","42,912","79,006","32,474","15,837","15,328",11.60%,38.0
291,"58,582",484,"3,175","8,293",792,"8,816","5,223",816,"2,190","3,147","14,302","6,292","3,988","1,064",8.20%,35.0
292,"111,048",820,"11,796","13,201","2,744","12,717","5,011","1,680","7,531","10,589","24,319","9,449","7,151","4,040",7.60%,46.0
294,"37,292","1,824","2,946","1,527",705,"3,889","1,981",618,"2,173","2,402","9,562","4,935","2,578","2,152",9.70%,26.0
295,"43,794","1,198","5,735","2,476",958,"5,135","1,869",683,"3,602","4,558","10,782","3,379","2,069","1,350",10.60%,42.0
296,"56,194","1,730","6,190","2,305","2,048","7,861","2,024",440,"2,281","4,602","15,018","7,157","2,261","2,277",12.00%,22.0
297,"60,583","1,342","3,508","1,731","1,470","9,080","2,419","1,784","3,477","6,207","15,774","7,603","3,553","2,635",18.20%,49.0
298,"80,152","2,458","7,905","4,018","2,384","9,444","3,763","2,451","5,529","8,128","18,195","8,360","4,245","3,272",9.80%,28.0
299,"284,474","2,732","18,605","22,870","7,676","31,136","13,460","6,657","30,311","36,796","69,399","26,103","11,581","7,148",12.10%,42.0
300,"167,273","1,874","11,706","15,579","3,852","18,841","7,083","2,711","12,632","16,862","45,204","14,337","7,189","9,403",21.50%,37.0
301,"91,817",882,"6,458","6,438","3,664","10,067","5,816","1,983","8,976","9,796","22,275","6,471","4,601","4,390",11.00%,33.0
302,"975,157","3,082","59,913","35,113","17,297","117,985","49,536","13,581","62,795","116,646","141,085","281,820","42,635","33,669",16.70%,58.0
303,"219,522","1,966","13,752","14,804","7,612","27,469","13,597","3,200","12,869","26,746","40,848","37,273","10,993","8,393",12.70%,49.0
304,"39,915",528,"2,702","4,976","2,080","4,928","1,991",677,"1,604","2,746","11,465","3,390","1,676","1,152",13.20%,38.0
305,"46,901",973,"3,497","4,453",673,"4,251","1,215",473,"1,900","3,833","16,542","5,512","2,081","1,498",8.00%,35.0
306,"221,277","1,332","13,142","30,421","6,985","25,254","8,157","5,660","16,089","29,426","51,812","15,274","11,429","6,296",8.50%,38.0
307,"76,518",675,"5,770","7,801","2,201","9,799","2,265","1,333","4,865","7,531","20,703","6,586","3,027","3,962",8.30%,33.0
308,"173,766","1,229","10,890","25,151","5,886","22,320","8,746","4,337","11,151","21,420","37,818","12,230","6,243","6,345",10.80%,41.0
310,"128,434",571,"8,405","5,071","2,586","15,182","4,942","1,772","5,854","10,615","30,032","32,801","4,981","5,622",11.50%,37.0
311,"477,434",447,"25,760","36,740","22,878","54,815","25,033","16,516","48,692","63,735","110,556","35,584","22,880","13,798",14.20%,47.0
313,"248,104",279,"12,647","17,502","7,504","26,774","13,947","4,222","18,676","31,260","69,729","22,581","12,035","10,948",13.60%,47.0
314,"66,220","3,141","4,600","8,844","1,513","8,058","3,852",480,"2,713","4,803","17,267","4,512","2,071","4,366",16.00%,33.0
315,"371,110",157,"19,928","23,467","9,103","33,791","28,343","11,750","26,375","52,232","100,043","33,403","18,630","13,888",18.40%,38.0
316,"143,071",773,"9,638","10,120","4,727","16,599","9,134","2,735","9,749","16,900","38,346","12,432","6,114","5,804",11.40%,42.0
317,"353,633",149,"19,564","24,002","14,030","35,561","27,366","11,955","39,603","52,637","71,127","30,051","17,364","10,224",14.70%,42.0
318,"65,982",935,"3,777","7,025","3,438","6,178","1,660","2,610","6,152","9,740","14,155","5,044","2,865","2,403",9.30%,36.0
319,"180,186",315,"7,622","14,930","4,924","20,198","7,873","3,029","15,404","25,475","44,496","14,722","8,047","13,151",11.80%,42.0
320,"403,939",464,"22,871","35,860","17,021","43,087","27,646","12,798","34,899","61,013","88,555","28,974","17,772","12,979",15.00%,36.0
321,"311,403",780,"21,444","18,789","8,820","36,510","14,327","13,021","31,521","40,222","72,109","27,968","14,862","11,030",12.40%,41.0
322,"263,313",345,"12,708","25,528","9,627","29,467","9,987","9,491","26,678","44,379","58,386","18,508","11,304","6,905",10.10%,36.0
323,"259,480",523,"22,400","13,629","8,288","39,929","14,478","4,227","16,607","25,580","67,413","21,131","11,633","13,642",14.90%,39.0
324,"229,788",59,"15,677","28,979","7,556","30,035","16,380","5,433","12,036","25,018","53,644","15,228","12,617","7,126",18.50%,39.0
325,"274,936",117,"15,615","25,521","8,793","30,010","21,875","6,241","24,314","37,264","58,585","21,819","13,435","11,347",13.60%,44.0
326,"55,817",892,"4,121","4,406","1,724","9,058","2,609","1,180","4,437","8,098","9,647","5,071","3,023","1,551",9.00%,35.0
327,"309,526","3,523","20,692","11,312","8,002","38,423","9,051","6,179","15,760","45,730","77,493","36,966","17,057","19,338",11.50%,49.0
329,"61,134",617,"3,757","3,931","2,268","7,445","2,727","1,025","3,958","7,408","14,737","7,234","2,437","3,590",11.70%,41.0
330,"51,078","5,804","4,723","1,528","2,011","4,873","4,323",385,"1,910","3,957","10,898","5,029","3,061","2,576",11.50%,44.0
331,"71,599",976,"4,404","1,820",745,"8,299","2,191","1,388","3,508","11,728","15,814","10,395","3,968","6,363",10.00%,42.0
333,"159,252",884,"7,836","7,174","2,924","15,502","5,955","3,637","12,026","15,761","43,298","15,517","9,658","19,080",14.80%,37.0
334,"600,417",800,"32,342","22,465","10,284","68,411","42,170","10,334","38,327","52,915","194,118","74,131","35,414","18,706",17.70%,46.0
336,"57,550","1,330","3,168","11,306",918,"6,604","2,124",503,"1,510","3,447","14,999","5,667","2,445","3,529",11.70%,38.0
338,"139,698","1,036","9,686","11,381","3,105","14,824","7,984","3,678","8,712","14,926","38,981","12,686","6,279","6,420",16.80%,33.0
339,"451,150","1,166","23,739","44,870","12,949","50,732","20,150","7,335","36,482","45,740","121,692","46,895","18,641","20,759",11.20%,45.0
340,"45,588",736,"2,989","2,495","1,216","5,787","1,943",590,"2,114","2,424","11,565","4,642","3,433","5,654",9.40%,32.0
341,"1,228,592","1,665","60,646","41,357","26,235","115,564","79,832","52,283","90,148","163,981","352,328","128,767","69,733","46,053",21.10%,32.0
343,"367,870","1,215","17,015","38,895","8,558","42,923","13,919","9,598","18,694","43,895","112,195","31,032","18,474","11,457",13.50%,37.0
344,"683,510",987,"38,583","30,358","22,353","70,402","40,687","22,996","67,328","82,929","198,955","48,585","30,380","28,967",18.20%,26.0
345,"908,640",264,"16,914","24,286","22,903","66,541","28,000","57,900","144,017","174,978","205,883","107,231","37,054","22,669",17.20%,46.0
346,"99,673",617,"5,744","14,118","2,948","12,786","5,297",973,"5,150","7,987","25,642","9,537","5,993","2,881",9.60%,36.0
347,"100,357",903,"5,278","10,969","1,847","12,463","3,903","1,065","5,615","7,956","30,664","8,340","4,385","6,969",13.30%,27.0
348,"224,008","1,628","11,950","16,032","6,966","25,998","11,470","5,198","13,794","22,699","68,329","22,674","8,862","8,408",12.10%,35.0
349,"171,199","1,037","8,895","14,316","6,756","21,803","9,835","4,725","9,294","14,437","45,706","14,793","8,021","11,581",16.90%,36.0
350,"52,656",392,"4,375","6,170","1,107","6,519","4,404","1,019","2,026","3,495","12,637","5,863","2,119","2,530",9.90%,32.0
352,"1,146,156","2,113","79,954","46,191","29,724","113,870","95,157","28,220","87,074","131,443","272,870","137,568","74,406","47,566",18.90%,42.0
354,"208,536",272,"16,477","5,045","2,752","21,271","13,783","5,376","21,075","24,664","61,620","14,626","7,833","13,742",18.60%,43.0
356,"115,673",830,"7,723","11,198","2,396","15,238","4,010","2,327","8,240","13,792","28,023","9,376","4,292","8,228",9.70%,32.0
358,"41,292","1,511","2,193","7,768",721,"4,625","1,635",773,"1,407","3,079","10,515","3,536","1,752","1,777",8.40%,34.0
359,"744,715","3,156","57,239","51,280","23,337","84,752","42,317","21,485","52,865","87,288","195,702","57,078","33,634","34,582",20.10%,41.0
362,"42,559","1,649","3,086","7,516",743,"4,889","1,485",655,"2,144","3,758","11,079","2,075","2,081","1,399",11.20%,31.0
363,"477,980",450,"28,840","19,613","11,693","46,854","19,843","15,124","51,226","71,693","124,739","41,173","28,137","18,595",17.50%,38.0
365,"117,832",992,"7,331","10,199","2,142","15,544","3,081","1,229","5,962","13,292","30,706","15,749","7,488","4,117",10.30%,36.0
369,"67,277",241,"3,915","19,735","2,557","7,733","2,564",785,"2,705","5,058","12,142","6,267","1,641","1,934",10.20%,39.0
370,"122,639",599,"6,783","8,747","1,805","18,114","3,843","2,322","4,414","12,613","32,606","13,633","6,778","10,382",12.00%,41.0
371,"73,582",527,"7,006","16,567","1,368","8,664","3,988","1,454","2,460","5,291","14,927","4,965","3,529","2,836",9.50%,45.0
372,"157,950","1,546","10,245","12,891","2,380","11,694","3,020","3,532","7,658","19,851","55,598","16,754","6,198","6,583",10.80%,41.0
373,"168,831",985,"11,109","19,835","4,470","18,162","7,191","2,287","10,794","18,312","46,199","15,083","9,019","5,385",13.00%,43.0
375,"245,890","1,284","15,087","29,962","8,514","27,458","12,553","3,700","20,199","25,142","56,757","24,837","13,700","6,697",15.80%,41.0
377,"87,561","1,453","9,266","8,471","4,395","11,509","2,848",768,"3,309","7,233","18,168","9,429","3,999","6,713",9.70%,39.0
379,"534,403","1,343","35,618","41,743","18,428","61,186","27,929","16,417","70,900","73,514","98,664","53,045","25,196","10,420",12.00%,44.0
381,"105,493",418,"7,608","7,493","2,903","14,203","4,704","3,376","5,648","10,805","28,266","12,108","5,629","2,332",13.50%,33.0
384,"81,798","1,063","5,243","9,105","1,393","9,598","2,547","1,531","3,707","4,752","24,554","10,210","4,117","3,978",29.40%,39.0
388,"60,385",427,"6,118","10,279","1,693","7,845","3,090",336,"1,937","4,397","13,744","5,990","3,144","1,385",6.90%,45.0
389,"109,270","1,015","8,232","12,679","3,653","12,150","5,370","2,514","11,181","13,895","23,297","8,535","4,270","2,479",16.20%,44.0
390,"528,812","1,789","34,734","41,230","13,765","56,269","19,497","18,882","39,890","101,164","107,542","46,214","21,748","26,088",12.50%,45.0
392,"51,848","2,221","4,900","2,093","1,770","5,953","3,243",489,"2,760","4,414","13,868","4,006","2,516","3,615",10.00%,34.0
393,"97,937","2,177","7,688","9,844","4,281","10,599","4,040",888,"7,609","10,196","23,596","9,862","4,949","2,208",8.80%,38.0
394,"49,872",422,"2,296","10,720","1,817","3,790","2,371",293,"2,521","3,140","12,168","5,247","2,703","2,384",9.00%,34.0
395,"39,519",619,"2,249","9,687","1,069","4,122","1,724",737,"1,141","2,213","10,635","2,989","1,305","1,029",5.70%,41.0
397,"177,826","1,231","9,864","25,902","6,018","22,359","8,046","2,334","13,123","16,344","41,175","18,284","7,559","5,587",9.40%,41.0
398,"60,796",479,"2,626","11,522","1,868","6,940","2,766",553,"3,490","5,452","15,451","4,856","2,727","2,066",12.60%,44.0
399,"100,135",138,"7,182","16,640","2,794","13,513","4,688","1,872","8,658","12,135","18,397","6,587","4,925","2,606",10.60%,44.0
400,"45,330","1,312","2,247","9,181","1,532","4,657","3,784",596,"1,405","2,452","8,916","5,377","2,651","1,220",8.40%,18.0
401,"579,887","1,201","22,292","72,261","15,557","63,013","25,313","10,920","43,849","60,637","153,951","61,769","25,174","23,950",11.00%,44.0
402,"99,464",642,"3,687","8,092","4,250","10,999","3,432","2,680","12,717","14,784","22,394","7,726","3,519","4,542",8.30%,39.0
403,"645,548",973,"24,127","48,474","17,708","81,588","38,547","13,864","69,709","80,829","151,913","67,105","25,915","24,796",9.80%,44.0
404,"47,945",655,"4,106","7,533","2,035","5,680","1,772","1,162","2,956","4,471","9,927","3,731","2,706","1,211",9.30%,44.0
405,"78,307",645,"3,210","8,866","1,821","8,066","2,279","1,106","4,893","9,281","21,037","6,499","4,176","6,428",9.70%,42.0
406,"392,385",801,"16,057","45,788","9,646","46,858","18,803","6,508","33,616","48,343","99,117","38,849","15,585","12,414",9.80%,50.0
409,"120,554",685,"4,725","25,341","4,088","14,555","5,751","1,789","7,666","10,288","27,429","9,405","4,493","4,339",9.70%,43.0
410,"79,938",755,"5,590","9,487","1,598","11,760","3,472","1,283","7,111","6,634","16,368","7,002","3,699","5,179",8.70%,42.0
411,"138,855","1,210","8,914","22,973","3,940","15,795","5,172","1,806","8,980","12,204","31,620","13,252","6,212","6,777",8.90%,34.0
412,"197,937",397,"8,895","32,443","5,099","22,077","11,292","2,195","6,585","19,714","53,534","20,517","9,720","5,469",12.00%,41.0
413,"103,419",546,"5,693","13,486","2,750","14,583","5,051","1,220","6,016","9,118","25,624","9,912","5,598","3,822",8.00%,42.0
414,"93,013",645,"5,028","15,522","2,617","10,573","4,853","1,122","7,113","8,160","21,784","7,755","4,503","3,338",10.80%,46.0
415,"49,834",206,"2,585","12,152",580,"5,351","1,345",765,"2,762","4,768","10,299","4,879","1,631","2,511",9.20%,42.0
416,"241,469",610,"12,779","31,620","5,520","25,129","9,715","4,538","13,557","24,657","64,486","25,261","11,493","12,104",13.10%,43.0
417,"79,799",756,"4,391","15,413","1,387","8,920","3,612","1,340","2,648","6,402","18,458","9,097","4,858","2,517",8.70%,36.0
419,"184,215","3,032","11,811","30,287","7,331","21,105","7,978","3,537","9,578","15,560","41,633","18,608","9,647","4,108",7.20%,40.0
420,"264,497",591,"11,193","40,694","7,884","34,866","10,838","5,255","18,964","28,282","61,743","26,091","11,401","6,695",8.70%,52.0
421,"89,646",842,"4,541","20,456","1,357","11,148","5,440","1,351","4,199","6,199","18,911","8,891","3,806","2,505",8.40%,40.0
422,"111,476",769,"5,680","17,428","4,929","12,871","3,590","1,771","7,747","13,684","25,772","7,110","5,512","4,613",9.80%,42.0
423,"68,188",788,"3,409","12,593","1,672","7,383","5,222",949,"2,260","4,920","16,536","7,284","2,863","2,309",10.10%,41.0
424,"65,288","3,227","4,241","6,349","1,967","9,400","3,586",749,"3,513","5,657","12,383","6,851","2,402","4,963",10.30%,37.0
425,"137,046","3,982","7,073","9,106","4,001","15,882","6,116","2,515","8,020","12,794","36,703","13,724","6,929","10,201",17.00%,41.0
426,"52,450",966,"3,192","3,714",459,"6,375","2,185","1,203","4,057","4,803","11,696","5,010","3,940","4,850",9.70%,40.0
427,"30,759","1,112","2,393","4,494","1,018","4,076","1,847",243,"1,240","2,554","6,214","2,676","1,593","1,299",7.50%,36.0
429,"367,103","13,716","33,936","24,687","9,200","42,554","12,771","6,794","28,368","39,291","79,622","34,900","20,126","21,138",15.20%,42.0
431,"315,206","6,891","20,135","36,434","9,661","35,830","17,835","8,269","20,507","36,434","67,614","27,923","18,763","8,910",15.00%,45.0
432,"199,068","3,721","13,826","23,882","8,429","23,624","9,168","3,350","12,685","23,933","42,253","17,385","9,112","7,700",10.80%,32.0
433,"82,207","2,049","7,443","6,228","1,301","8,318","2,515","2,990","4,365","10,947","17,485","9,842","6,665","2,059",14.80%,33.0
434,"90,729","3,749","5,653","8,645","1,246","14,035","4,066","1,166","3,473","8,203","22,007","9,376","5,141","3,969",11.50%,43.0
437,"165,490","3,614","9,022","17,540","4,224","22,892","6,172","3,066","8,797","15,791","43,276","18,286","7,814","4,996",10.30%,40.0
438,"49,437","2,639","2,948","7,393","1,010","6,649","2,415",304,"1,723","3,727","13,264","2,621","1,755","2,989",11.40%,23.0
439,"148,397","9,654","12,270","16,052","3,511","18,872","4,627","1,538","7,260","14,242","31,438","11,659","7,096","10,178",9.80%,33.0
440,"419,701","5,985","17,481","36,670","12,832","44,738","18,160","9,763","24,713","59,828","107,665","48,706","19,908","13,252",9.20%,35.0
442,"288,228","4,684","13,032","50,740","9,647","31,156","9,969","6,766","20,527","40,341","56,039","23,784","10,548","10,995",10.40%,36.0
443,"51,023","1,070","3,315","9,690","1,027","6,518","2,321",529,"1,408","3,439","11,793","4,494","2,594","2,825",10.00%,44.0
444,"623,721","5,298","31,703","50,476","18,246","69,522","28,171","12,039","53,100","79,931","170,259","59,249","28,646","17,081",14.50%,53.0
445,"27,885",861,"2,958","4,157",647,"2,894","1,324",168,"1,192","1,796","7,807","1,679","1,326","1,076",9.60%,46.0
446,"81,321","1,096","4,284","10,565","2,472","9,655","7,216","1,039","4,622","7,578","19,049","7,268","4,217","2,260",11.70%,46.0
447,"200,854","2,523","10,876","39,280","7,314","24,110","10,363","2,602","11,881","18,320","44,631","14,731","8,981","5,242",26.90%,47.0
448,"56,198",713,"3,443","6,422","1,618","9,444","4,346","1,170","2,185","2,575","15,047","4,943","2,096","2,196",6.30%,44.0
449,"326,430","1,889","22,214","38,472","11,688","40,730","13,709","6,469","24,827","43,533","78,178","23,523","12,756","8,442",11.60%,46.0
450,"58,413","1,183","2,974","5,047","1,797","6,506","3,577",797,"2,875","3,814","17,589","5,793","3,128","3,333",8.50%,47.0
451,"77,408","1,249","3,590","6,720","1,161","7,839","2,243",377,"2,102","7,624","30,048","8,345","3,625","2,485",10.90%,42.0
452,"270,111","7,478","14,503","30,529","9,212","23,312","9,719","6,014","25,989","43,153","61,062","21,602","10,804","6,734",11.60%,48.0
453,"32,548","1,766","2,323","3,673",387,"5,237","3,032",463,"1,276","1,599","7,203","2,717","1,557","1,315",14.20%,38.0
454,"125,845","1,406","6,046","11,886","3,149","15,943","9,036","2,219","11,498","13,395","25,856","8,373","5,101","11,937",10.80%,45.0
455,"133,305",644,"5,322","11,005","4,160","15,216","7,936","2,329","10,159","11,737","32,570","13,256","5,662","13,309",22.30%,50.0
456,"280,126","1,448","14,260","19,063","7,405","28,316","14,752","5,961","22,637","33,684","85,623","22,825","12,612","11,540",17.00%,48.0
457,"127,249","1,544","5,023","22,891","2,649","12,943","4,647","1,862","8,760","8,107","32,116","16,257","6,351","4,099",9.90%,40.0
458,"72,851","1,851","4,271","11,913","2,050","8,569","4,714","1,063","4,860","5,216","15,357","4,978","3,609","4,400",10.30%,34.0
459,"100,019",725,"5,777","11,237","4,106","11,239","4,825","1,823","5,315","8,840","28,366","8,680","4,623","4,463",9.30%,43.0
460,"266,353","8,972","20,913","43,030","10,008","30,268","12,796","2,936","12,580","24,446","60,192","20,219","12,909","7,084",20.10%,50.0
461,"37,488",682,"2,286","5,954",836,"5,190","2,600",424,"1,867","2,338","9,486","2,754","1,931","1,140",9.30%,33.0
462,"175,761",560,"8,694","25,651","5,450","20,964","11,673","2,751","9,437","20,592","42,474","16,442","7,198","3,875",9.90%,34.0
463,"148,579",854,"6,785","19,681","5,339","20,848","9,466","1,909","7,395","13,179","36,653","13,447","5,351","7,672",11.90%,34.0
464,"55,739","1,614","3,653","8,444","1,630","6,341","2,899",873,"1,681","4,011","15,597","5,110","2,086","1,800",11.90%,34.0
465,"49,103","1,172","2,112","7,867",645,"6,344","2,057",690,"2,253","3,722","14,115","3,915","2,137","2,074",7.20%,45.0
466,"423,298","1,312","25,500","46,430","12,294","43,094","13,953","10,516","40,826","64,186","103,786","32,741","20,353","8,307",10.80%,42.0
467,"148,305","1,047","7,032","21,733","4,002","17,784","9,268","3,078","7,299","14,088","39,515","11,601","7,046","4,812",13.20%,50.0
468,"676,371","1,878","25,245","46,786","14,808","72,694","42,307","12,580","36,240","79,697","199,907","67,966","33,787","42,476",19.90%,51.0
470,"32,286","1,600","2,398","3,895",799,"3,576","2,062",226,"1,827","2,562","8,324","2,356","1,235","1,426",5.90%,34.0
471,"98,883","4,437","6,914","11,617","2,593","11,975","4,460","1,284","6,262","10,287","23,438","8,551","4,471","2,594",15.90%,50.0
472,"171,930","1,704","10,592","26,404","6,209","22,509","9,809","1,448","9,624","14,547","40,560","12,661","10,706","5,157",8.00%,44.0
473,"222,498","1,343","17,145","35,802","7,363","25,726","14,239","2,446","11,571","18,864","47,600","17,541","11,527","11,331",9.20%,48.0
474,"88,620",54,"4,917","11,746","3,006","9,976","3,606",944,"5,707","7,849","22,254","10,190","3,461","4,910",10.40%,37.0
475,"303,019",801,"13,506","36,774","9,499","37,415","12,472","5,459","19,314","27,663","83,648","31,942","13,837","10,689",14.20%,44.0
476,"65,560",431,"4,431","6,967","1,602","6,652","1,351",820,"3,600","6,438","17,712","9,068","3,466","3,022",14.60%,38.0
477,"70,130",697,"5,553","9,519","1,059","10,559","4,966",550,"2,893","7,357","14,048","6,078","4,117","2,734",10.20%,38.0
478,"86,601",679,"4,572","20,465","1,403","10,379","3,753","1,799","3,926","6,445","19,778","6,363","4,446","2,593",10.90%,38.0
480,"92,066",171,"8,075","11,055","2,560","10,734","5,218","1,658","5,051","11,044","17,197","8,256","4,506","6,541",22.20%,33.0
481,"196,142","1,031","11,907","10,645","5,503","19,005","8,859","4,272","14,584","29,290","43,935","28,520","9,912","8,679",16.30%,35.0
483,"59,710",320,"2,644","9,164","2,208","6,957","3,926",492,"2,978","3,533","16,253","4,432","3,830","2,973",12.80%,37.0
484,"229,422",977,"12,764","39,082","6,785","23,634","7,740","6,841","13,492","28,372","49,407","21,731","12,517","6,080",11.90%,44.0
487,"137,043","1,454","10,678","14,050","4,469","14,833","6,603","2,027","9,682","14,556","31,462","10,145","7,868","9,216",9.50%,35.0
490,"52,412",785,"4,313","10,284","1,132","4,918","2,645",500,"2,695","3,811","13,902","3,786","2,260","1,381",12.00%,39.0
