,County_Name,Civilian employed population 16 years and over_2010,"Agriculture, forestry, fishing and hunting, and mining_2010",Construction_2010,Manufacturing_2010,Wholesale trade_2010,Retail trade_2010,"Transportation and warehousing, and utilities_2010",Information_2010,"Finance and insurance, and real estate and rental and leasing_2010","Professional, scientific, and management, and administrative and waste management services_2010","Educational services, and health care and social assistance_2010","Arts, entertainment, and recreation, and accommodation and food services_2010","Other services, except public administration_2010",Public administration_2010,Industry_2010,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,Industry_2019,Civilian employed population 16 years and over_2019,"Agriculture, forestry, fishing and hunting, and mining_2019",Construction_2019,Manufacturing_2019,Wholesale trade_2019,Retail trade_2019,"Transportation and warehousing, and utilities_2019",Information_2019,"Finance and insurance, and real estate and rental and leasing_2019","Professional, scientific, and management, and administrative and waste management services_2019","Educational services, and health care and social assistance_2019","Arts, entertainment, and recreation, and accommodation and food services_2019","Other services, except public administration_2019",Public administration_2019,Industry_2015,2019_Median_AQI,2015_Median_AQI,2010_Median_AQI
19,"Mohave County, Arizona","72,433",814,"5,585","3,855",787,"11,356","4,309","1,335","3,754","3,670","15,279","13,699","2,766","5,224",7.20%,"71,494",494,"4,189","3,803","1,584","11,315","5,105","1,102","3,477","5,739","13,593","12,232","4,615","4,246",12.20%,"76,213",876,"6,761","4,121","1,450","11,646","4,759",982,"3,918","5,972","14,669","13,826","3,495","3,738",14.70%,14.0,17.0,14.0
21,"Pima County, Arizona","412,292","3,711","23,958","29,763","5,998","51,249","13,845","7,694","20,419","50,655","107,016","46,766","24,140","27,078",7.40%,"429,496","5,429","29,907","25,295","7,623","52,872","15,897","6,372","22,700","55,722","105,016","51,495","22,662","28,506",10.00%,"464,801","5,177","29,415","33,611","7,481","52,426","21,275","6,948","28,898","57,052","122,668","53,604","23,688","22,558",14.10%,47.0,45.0,49.0
22,"Pinal County, Arizona","132,869","2,521","12,261","9,604","2,841","19,050","7,142","2,628","8,077","13,423","26,202","10,872","6,350","11,898",8.80%,"135,816","3,873","8,276","13,297","2,925","17,269","4,758","2,064","9,804","13,236","29,677","14,646","5,301","10,690",19.80%,"178,921","4,666","15,154","15,497","4,765","20,740","10,402","2,422","15,200","18,939","34,377","14,673","8,210","13,876",22.70%,63.0,63.0,69.0
23,"Yavapai County, Arizona","79,070","1,986","5,458","3,634","2,189","10,348","2,559","1,359","5,447","8,338","17,351","12,467","3,635","4,299",3.70%,"84,647","1,942","6,224","4,546","1,476","11,734","4,468","1,343","3,194","9,102","19,818","12,404","4,260","4,136",21.80%,"93,799","2,613","9,847","5,168","1,034","11,902","3,319",924,"4,521","8,823","22,592","11,267","7,429","4,360",10.20%,43.0,41.0,42.0
24,"Yuma County, Arizona","68,598","6,069","3,504","2,672","1,943","8,865","2,187","1,116","1,390","6,379","13,237","9,833","3,122","8,281",6.50%,"72,053","8,263","5,011","2,781","1,395","7,668","2,479",703,"3,063","6,403","13,826","8,882","3,806","7,773",11.20%,"74,056","8,665","2,980","4,838","3,745","7,619","4,089",875,"3,353","6,600","12,547","7,757","3,162","7,826",10.70%,45.0,43.0,40.0
29,"Pulaski County, Arkansas","177,729",929,"8,180","12,574","4,541","17,538","9,592","4,261","11,816","17,717","51,634","17,720","8,759","12,468",5.20%,"180,595","1,100","8,492","14,756","4,316","23,542","8,765","5,282","12,270","15,802","47,454","15,579","9,394","13,843",7.90%,"182,913",845,"10,598","12,653","5,076","21,606","9,602","3,411","12,749","20,972","47,913","16,724","9,164","11,600",11.10%,45.0,44.0,55.0
31,"Washington County, Arkansas","96,558","2,271","6,013","15,319","3,511","12,501","4,481","1,499","4,380","7,151","23,190","8,977","4,341","2,924",4.90%,"106,239","1,757","6,703","16,526","3,302","13,049","4,501","1,497","5,180","10,882","27,543","7,351","5,335","2,613",8.70%,"113,668","1,087","9,328","13,591","2,014","14,945","5,742","1,292","5,170","12,294","27,164","12,714","4,861","3,466",7.00%,43.0,37.0,40.0
33,"Alameda County, California","699,389","1,936","36,459","74,342","23,531","71,978","37,659","21,330","40,478","113,728","157,244","56,708","35,947","28,049",5.70%,"836,462","3,366","45,288","80,754","22,451","73,840","46,887","29,816","50,013","156,367","179,168","73,407","44,993","30,112",11.20%,"885,937","3,110","45,155","81,227","21,097","80,977","48,140","31,711","53,114","186,506","185,678","74,445","42,548","32,229",15.80%,41.0,46.0,43.0
34,"Butte County, California","88,041","2,925","4,578","5,389","2,197","12,104","3,661","1,695","4,209","10,004","24,315","8,733","4,482","3,749",6.00%,"92,602","4,174","5,341","5,543","1,277","12,071","2,192","2,172","4,783","8,877","25,242","14,564","3,008","3,358",12.80%,"95,672","3,159","5,798","7,568","1,400","11,475","4,832","1,986","4,519","9,276","24,984","11,471","4,434","4,770",26.30%,46.0,52.0,47.0
35,"Contra Costa County, California","480,363","3,392","31,364","37,735","13,364","49,304","26,338","16,307","44,089","66,688","106,913","38,828","26,126","19,915",6.10%,"536,149","5,028","40,044","35,400","12,554","56,487","29,618","13,612","45,884","85,756","114,253","48,447","27,617","21,449",13.40%,"576,786","3,602","41,554","35,470","12,594","57,080","35,037","11,832","43,153","97,446","133,223","53,363","28,458","23,974",12.90%,40.0,44.0,39.0
36,"El Dorado County, California","78,614",856,"6,080","5,394","1,437","8,111","2,582","1,491","5,857","10,867","14,943","10,163","3,971","6,862",3.30%,"79,944",875,"6,215","6,643","1,182","10,098","4,133","1,714","5,416","10,472","15,483","8,559","3,819","5,335",14.70%,"90,690","1,699","7,479","7,098","2,401","9,140","4,242","1,570","5,565","10,970","18,634","11,755","4,234","5,903",28.10%,43.0,44.0,42.0
37,"Fresno County, California","363,891","36,019","20,052","22,445","13,572","44,280","16,947","4,492","20,988","33,642","81,279","30,470","17,149","22,556",8.80%,"397,209","42,468","21,404","30,628","13,517","43,395","17,011","5,656","18,412","29,367","95,502","35,608","17,697","26,544",9.70%,"410,423","36,424","26,807","24,997","11,134","40,405","26,413","4,758","17,298","38,197","107,402","32,028","18,566","25,994",16.60%,60.0,80.0,70.0
38,"Humboldt County, California","61,379","2,228","5,013","3,629","1,458","8,744","2,607","1,346","2,724","4,496","13,483","9,096","3,179","3,376",5.70%,"59,202","2,545","4,281","2,317","1,478","9,322","1,940",634,"2,386","4,423","16,634","6,257","2,353","4,632",9.20%,"63,682","3,685","5,638","2,776","1,018","8,354","1,784",567,"2,344","5,565","16,341","8,467","2,721","4,422",21.00%,27.0,36.0,29.0
39,"Imperial County, California","56,573","3,990","3,733","3,828","1,835","5,957","4,539",891,"2,344","3,515","13,273","3,756","2,722","6,190",5.40%,"59,958","5,167","4,076","1,629","1,050","6,957","4,157",481,"1,541","3,823","17,210","5,179","2,571","6,117",15.30%,"60,600","6,252","4,442","1,371","2,031","7,321","4,208",839,"2,145","4,024","12,807","6,893","1,966","6,301",16.60%,58.0,63.0,53.0
40,"Kern County, California","310,764","48,124","18,675","15,711","9,392","36,365","14,899","3,188","12,916","27,057","61,275","24,801","15,830","22,531",5.60%,"344,626","59,577","22,244","17,550","11,229","35,869","17,623","3,784","12,200","27,787","66,127","29,643","18,139","22,854",11.80%,"352,979","50,940","28,028","21,985","7,253","35,627","25,031","4,108","10,410","30,594","70,001","27,323","14,321","27,358",11.50%,67.0,84.0,79.0
41,"Kings County, California","52,477","9,245","1,958","3,859","1,805","5,009","1,046",209,"1,542","4,213","10,233","4,281","1,750","7,327",6.80%,"52,823","7,586","1,854","3,293",908,"4,645","1,899",329,985,"3,426","12,814","4,723","2,833","7,528",13.90%,"53,749","9,486","1,753","2,929","1,774","5,440","4,393",383,"1,001","4,203","9,851","4,624","1,504","6,408",11.70%,56.0,71.0,70.0
43,"Los Angeles County, California","4,391,268","24,261","235,752","473,710","159,909","468,911","227,934","188,861","279,308","545,308","921,140","436,463","269,174","160,537",7.40%,"4,831,360","26,458","279,541","471,726","164,029","509,564","271,060","206,647","300,484","629,848","993,951","540,940","288,947","148,165",13.10%,"5,037,815","23,070","313,721","433,018","165,669","484,548","327,026","226,062","298,700","689,827","1,050,067","572,709","284,280","169,118",14.90%,71.0,79.0,76.0
