,County_Name,Civilian employed population 16 years and over_2010,"Agriculture, forestry, fishing and hunting, and mining_2010",Construction_2010,Manufacturing_2010,Wholesale trade_2010,Retail trade_2010,"Transportation and warehousing, and utilities_2010",Information_2010,"Finance and insurance, and real estate and rental and leasing_2010","Professional, scientific, and management, and administrative and waste management services_2010","Educational services, and health care and social assistance_2010","Arts, entertainment, and recreation, and accommodation and food services_2010","Other services, except public administration_2010",Public administration_2010,Industry_2010,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,Industry_2019,Civilian employed population 16 years and over_2019,"Agriculture, forestry, fishing and hunting, and mining_2019",Construction_2019,Manufacturing_2019,Wholesale trade_2019,Retail trade_2019,"Transportation and warehousing, and utilities_2019",Information_2019,"Finance and insurance, and real estate and rental and leasing_2019","Professional, scientific, and management, and administrative and waste management services_2019","Educational services, and health care and social assistance_2019","Arts, entertainment, and recreation, and accommodation and food services_2019","Other services, except public administration_2019",Public administration_2019,Industry_2015,2019_Median_AQI,2015_Median_AQI,2010_Median_AQI
145,"Richmond County, Georgia","78,341",347,"5,023","8,537","1,584","9,219","4,919","1,930","2,425","5,542","20,232","9,464","3,558","5,561",7.10%,"79,370",531,"5,847","7,600","1,016","12,245","4,659","1,163","2,704","9,465","18,128","7,924","3,036","5,052",14.70%,"83,670",439,"3,757","10,931","1,584","9,312","3,973",816,"2,528","13,368","18,056","13,138","2,355","3,413",16.80%,45.0,39.0,48.0
148,"Hawaii County, Hawaii","79,982","3,757","9,361","1,712","1,604","9,102","3,656","1,111","3,841","7,783","17,027","12,772","3,379","4,877",7.20%,"84,143","3,029","8,316","1,302","1,713","10,640","4,657",880,"5,273","8,014","16,651","11,453","4,813","7,402",8.20%,"90,710","5,006","6,223","2,463","2,017","10,396","3,878","1,342","4,867","9,532","17,953","17,502","4,076","5,455",10.40%,16.0,58.0,65.0
149,"Honolulu County, Hawaii","452,669","3,416","31,171","14,494","11,858","52,471","27,064","7,424","32,415","41,365","104,217","60,822","20,236","45,716",7.60%,"471,067","3,378","34,912","16,527","12,959","53,877","27,797","8,406","32,399","45,852","96,635","69,130","22,656","46,539",12.90%,"459,379","3,634","32,389","13,820","11,132","53,076","30,952","6,246","28,871","50,353","106,493","62,155","18,142","42,116",17.20%,27.0,34.0,38.0
151,"Maui County, Hawaii","73,905","2,164","6,182","1,759","1,434","8,056","4,328",813,"5,675","7,600","10,743","18,053","3,521","3,577",6.30%,"83,147","1,893","6,446","1,521","2,528","8,896","4,593","1,799","5,876","9,255","13,884","18,736","3,008","4,712",11.80%,"85,790",901,"6,871","1,864","1,692","10,813","4,273",796,"5,013","9,886","14,251","21,309","3,943","4,178",14.40%,15.0,25.0,18.0
152,"Ada County, Idaho","185,843","2,671","10,568","17,914","5,201","22,354","7,739","4,368","12,829","24,442","40,100","18,693","6,920","12,044",11.30%,"211,320","2,792","13,294","17,062","5,744","24,180","8,084","4,887","14,515","28,270","50,752","19,108","11,447","11,185",10.00%,"244,950","3,130","18,329","23,055","7,564","30,455","10,910","5,315","16,309","28,978","53,863","25,242","9,851","11,949",10.90%,38.0,40.0,49.0
155,"Canyon County, Idaho","73,768","3,794","5,024","9,045","3,468","8,610","4,446","1,543","3,596","7,470","17,126","2,700","3,876","3,070",5.10%,"87,152","5,253","6,306","10,913","2,483","11,953","3,124","1,429","3,908","7,897","18,530","6,524","4,962","3,870",10.40%,"107,792","3,770","11,696","13,283","2,630","14,084","5,817","1,283","4,925","8,276","23,203","9,676","4,535","4,614",11.90%,25.0,27.0,25.0
156,"Kootenai County, Idaho","59,952",688,"5,460","6,496","1,218","8,012","1,685",488,"5,380","5,966","12,755","6,417","3,135","2,252",4.70%,"69,862","1,131","6,062","5,679","2,136","8,283","2,580",981,"4,592","6,694","16,863","8,466","3,402","2,993",9.50%,"81,399","1,137","7,199","6,763","2,887","12,053","3,496","1,004","6,780","5,624","17,449","9,163","4,763","3,081",10.20%,23.0,30.0,37.0
158,"Adams County, Illinois","31,219",896,"1,941","5,031",905,"6,081","1,662",486,"1,963","1,460","6,758","2,116","1,573",347,9.40%,"32,044",770,"1,404","4,505","1,455","3,936","1,443",395,"2,425","2,477","8,675","2,033","1,515","1,011",5.30%,"33,001","1,016","1,663","3,412","1,012","4,905","2,331",686,"1,410","1,981","9,269","2,172","2,308",836,7.00%,41.0,40.0,37.0
159,"Champaign County, Illinois","96,700",652,"3,687","6,851","2,168","9,645","2,660","3,185","5,522","7,910","36,792","10,117","5,348","2,163",4.60%,"101,586",726,"3,873","9,239","2,552","10,720","4,009","1,861","4,938","9,125","38,849","9,566","3,074","3,054",7.80%,"101,692","1,605","3,050","7,703","1,934","7,851","5,673","2,286","3,848","7,634","42,446","10,856","4,426","2,380",12.30%,42.0,42.0,34.0
160,"Cook County, Illinois","2,367,822","3,251","110,560","253,304","67,769","233,915","143,619","57,227","193,815","320,861","534,028","229,813","123,323","96,337",7.50%,"2,521,026","5,316","119,545","249,971","74,609","256,086","171,896","54,240","207,092","360,171","564,363","247,468","122,641","87,628",11.40%,"2,595,753","3,766","124,235","250,766","61,721","228,090","201,464","50,217","211,449","400,411","605,853","241,725","126,203","89,853",15.60%,53.0,53.0,58.0
161,"DuPage County, Illinois","465,365","1,641","21,306","51,915","19,517","50,509","26,925","12,483","44,148","62,583","99,781","40,191","21,961","12,405",5.60%,"490,503","1,073","23,672","62,873","17,790","48,311","29,515","12,823","42,754","73,544","101,970","43,816","20,952","11,410",13.70%,"491,068",852,"24,823","59,905","20,333","50,767","33,452","8,208","40,847","73,334","104,145","43,984","20,223","10,195",13.00%,42.0,39.0,46.0
162,"Kane County, Illinois","239,955","1,616","14,741","38,409","9,128","29,522","14,197","5,175","16,996","29,633","46,599","18,146","8,569","7,224",6.00%,"265,968","2,343","18,361","42,970","10,126","27,595","14,526","6,064","16,830","33,220","53,522","23,156","11,876","5,379",10.80%,"274,821","1,234","18,551","41,041","10,213","30,389","16,520","4,199","21,074","35,787","48,289","27,720","12,680","7,124",16.00%,40.0,35.0,36.0
163,"Lake County, Illinois","332,107","1,022","13,474","51,916","14,669","41,576","13,469","6,706","23,379","41,844","63,067","35,424","15,218","10,343",7.40%,"351,135",757,"17,537","58,982","17,865","42,351","12,230","4,475","26,533","51,400","63,162","29,578","15,290","10,975",10.50%,"351,331","1,341","19,768","58,684","14,407","43,803","15,652","4,292","25,722","46,810","69,634","29,107","13,478","8,633",15.00%,40.0,35.0,37.0
164,"McHenry County, Illinois","152,679","1,406","11,390","25,548","6,160","16,501","6,985","3,082","11,258","16,902","31,146","12,573","5,690","4,038",5.90%,"163,454","1,113","11,661","25,028","6,772","20,279","7,659","3,681","12,394","17,433","30,525","15,375","7,531","4,003",11.00%,"167,019","1,262","14,593","26,566","6,516","19,958","9,375","2,768","11,381","16,941","31,651","13,028","8,767","4,213",11.70%,44.0,43.0,41.0
165,"McLean County, Illinois","87,438",850,"3,162","5,878","1,073","10,074","3,493","1,860","18,415","5,726","21,685","8,792","4,308","2,122",7.50%,"91,757","1,010","3,287","5,747","1,808","11,839","3,084","1,089","18,944","8,472","20,511","10,377","2,986","2,603",12.70%,"83,090",940,"2,804","3,868","1,307","8,844","3,569",438,"14,959","7,534","23,236","9,550","3,154","2,887",12.10%,44.0,37.0,40.0
166,"Macon County, Illinois","46,390","1,001","2,274","6,318","1,425","6,150","3,709",970,"2,332","3,265","10,296","4,327","2,699","1,624",5.90%,"47,989","1,278","3,137","7,726","1,142","5,549","2,864",776,"3,069","3,481","10,085","4,998","2,135","1,749",14.70%,"44,586",818,"2,102","8,087","1,408","4,875","2,194",819,"2,079","3,603","10,277","4,153","2,497","1,674",10.60%,43.0,40.0,46.0
167,"Madison County, Illinois","123,020",949,"8,060","14,221","3,555","13,646","9,000","1,306","9,030","11,109","28,343","12,569","6,367","4,865",4.70%,"123,979","1,191","6,906","15,372","2,851","14,760","8,818","2,179","7,253","9,611","28,674","13,943","6,800","5,621",9.70%,"130,143","1,070","8,067","15,059","4,088","10,951","10,291","1,936","8,281","15,369","31,415","12,189","5,838","5,589",8.60%,49.0,44.0,60.0
168,"Peoria County, Illinois","84,627",434,"3,402","14,684","2,292","9,368","3,523","1,587","4,428","9,673","21,481","6,124","3,788","3,843",5.80%,"85,449","1,338","4,412","14,295","2,241","9,338","3,669","1,325","4,054","8,042","21,784","6,931","4,417","3,603",12.30%,"81,174",738,"3,416","11,824","1,544","7,828","3,779","1,396","4,383","7,798","25,757","7,080","3,580","2,051",10.10%,41.0,42.0,51.0
169,"Rock Island County, Illinois","68,332",982,"2,864","12,372","2,312","7,932","3,337","1,431","2,862","5,554","16,824","5,461","3,957","2,444",5.30%,"69,021",466,"3,856","13,651","1,639","8,845","4,486","1,350","2,687","5,025","15,084","5,929","2,992","3,011",8.70%,"66,636",597,"4,838","10,872","1,226","8,256","5,662",672,"2,832","4,964","13,306","6,900","3,257","3,254",7.70%,42.0,36.0,32.0
170,"Sangamon County, Illinois","97,607",936,"4,580","3,950","2,328","10,534","4,788","1,838","7,075","8,069","25,198","7,414","5,775","15,122",10.80%,"93,156","1,279","4,631","5,125","2,066","8,819","3,816","1,647","8,926","8,568","23,711","9,244","4,142","11,182",11.90%,"90,112","1,412","4,878","4,254","2,075","7,702","2,781",785,"7,467","9,128","24,669","7,644","4,519","12,798",21.50%,40.0,34.0,37.0
171,"Will County, Illinois","311,382","1,172","17,860","36,319","10,641","39,959","25,657","6,617","22,509","34,111","66,771","23,944","13,966","11,856",5.80%,"342,392","1,859","22,514","38,345","11,467","45,034","25,321","6,992","23,851","39,149","74,314","29,611","12,403","11,532",11.30%,"353,050","1,633","24,482","35,654","12,553","39,957","34,726","5,212","22,533","37,380","79,307","30,295","16,094","13,224",12.60%,43.0,45.0,38.0
172,"Winnebago County, Illinois","127,255",462,"6,664","26,392","2,848","14,144","6,328","2,109","5,940","10,144","31,198","10,458","6,913","3,655",9.00%,"131,245",656,"6,661","27,816","3,188","16,032","5,363","1,770","5,709","11,442","29,660","12,460","6,254","4,234",8.50%,"133,731",800,"7,257","30,949","3,493","13,426","8,761","1,575","3,763","11,074","33,207","10,327","5,876","3,223",10.70%,42.0,35.0,36.0
173,"Allen County, Indiana","157,948",934,"7,237","29,620","5,106","20,407","6,347","2,564","10,216","13,414","38,873","13,367","6,863","3,000",4.00%,"175,857","1,050","10,069","33,499","5,443","19,536","6,508","3,531","13,603","13,836","40,518","16,005","8,851","3,408",9.50%,"190,492",628,"11,189","38,287","5,011","22,418","9,461","2,977","12,081","13,776","44,993","17,652","7,084","4,935",10.20%,43.0,43.0,56.0
174,"Clark County, Indiana","53,298",165,"2,914","7,376","1,004","5,315","3,870",436,"4,149","4,769","11,333","6,336","2,655","2,976",5.00%,"56,842",278,"3,011","9,025","1,071","6,845","5,171",910,"4,417","3,851","10,781","6,234","3,285","1,963",8.60%,"59,052",23,"3,989","8,886","1,087","7,658","3,991",933,"3,991","6,017","12,204","5,329","3,025","1,919",9.30%,41.0,44.0,58.0
175,"Delaware County, Indiana","50,428",502,"2,513","4,893","1,070","7,174","1,460",627,"2,101","3,397","17,248","5,458","2,412","1,573",6.40%,"52,858",497,"2,569","5,817","1,273","6,252","2,013",420,"1,854","4,667","16,007","7,775","2,189","1,525",8.90%,"51,668",806,"2,807","5,363",756,"6,761","2,115","1,798","2,908","3,994","14,431","5,147","3,408","1,374",11.10%,35.0,36.0,45.0
176,"Elkhart County, Indiana","86,514",615,"4,792","29,940","2,429","9,342","3,287",910,"3,955","4,742","14,391","6,029","4,430","1,652",7.80%,"92,706",772,"3,882","34,536","1,757","9,572","3,575",992,"3,159","5,283","15,459","6,200","5,242","2,277",9.20%,"99,878","1,696","6,170","31,903","4,357","12,306","2,362","1,272","3,533","4,240","19,221","6,886","4,072","1,860",26.80%,37.0,42.0,44.0
178,"Hamilton County, Indiana","140,815","1,338","5,639","17,746","5,169","13,898","4,946","2,745","15,620","19,248","32,769","10,333","6,460","4,904",10.40%,"165,516","1,461","9,291","18,840","5,570","17,277","5,306","3,456","18,418","23,704","37,047","13,206","7,396","4,544",6.20%,"180,528",909,"7,207","19,271","8,232","16,780","6,123","2,103","19,741","26,831","45,701","13,884","8,143","5,603",7.70%,41.0,37.0,44.0
180,"Hendricks County, Indiana","70,333",121,"5,421","9,565","2,303","8,076","5,675",902,"4,801","6,063","15,495","5,299","3,697","2,915",4.00%,"85,188",329,"3,279","11,070","2,451","7,073","8,613","1,489","4,431","8,445","20,915","8,205","5,633","3,255",10.20%,"91,090",402,"4,588","11,454","4,159","10,471","6,849","1,075","5,474","10,492","21,199","8,236","3,239","3,452",18.50%,34.0,35.0,41.0
184,"Lake County, Indiana","206,980",825,"12,753","32,198","4,450","23,483","14,589","3,957","9,939","14,060","49,918","19,997","11,593","9,218",6.70%,"215,612",859,"14,660","34,692","4,575","27,724","14,025","2,305","10,503","18,909","49,449","21,469","9,575","6,867",12.10%,"225,008",555,"17,157","29,799","5,415","26,006","17,857","3,384","10,304","20,041","52,080","23,196","11,260","7,954",14.90%,44.0,47.0,63.0
185,"LaPorte County, Indiana","46,537",610,"3,310","8,953","1,306","5,133","2,997",303,"1,779","3,630","9,700","5,093","2,679","1,044",5.20%,"46,640",716,"2,472","10,646",894,"6,369","2,687",430,"1,708","3,152","9,806","4,017","2,232","1,511",12.70%,"50,522",421,"4,127","10,472","1,005","5,589","2,674",593,"1,765","4,421","10,767","4,687","1,470","2,531",13.10%,37.0,40.0,44.0
186,"Madison County, Indiana","55,285",893,"3,661","6,739","1,400","6,659","2,398","1,141","3,265","4,719","12,870","4,644","3,455","3,441",6.10%,"56,603",468,"3,084","7,093","1,401","6,699","3,528",848,"2,500","5,275","14,165","5,260","2,984","3,298",9.60%,"58,522",636,"3,076","9,390","1,172","5,854","3,372","1,254","2,534","5,075","12,893","6,869","3,173","3,224",10.60%,41.0,38.0,47.0
187,"Marion County, Indiana","413,741",935,"17,823","50,828","12,573","53,163","24,818","7,224","28,445","44,070","89,374","47,405","18,766","18,317",4.40%,"452,244","1,081","25,223","47,581","15,590","59,706","30,415","9,862","27,504","53,145","92,764","49,664","22,954","16,755",10.60%,"474,339",626,"27,398","51,550","12,532","56,517","41,528","7,476","27,586","61,204","101,798","46,017","22,171","17,936",13.00%,53.0,51.0,60.0
189,"Porter County, Indiana","73,994",449,"5,418","13,102","1,660","9,194","2,958","1,336","3,884","5,698","17,394","6,670","3,890","2,341",6.00%,"76,412",228,"4,815","13,947","1,523","8,669","4,797",687,"3,036","8,018","19,880","5,206","2,954","2,652",10.00%,"80,286",253,"7,170","14,102","1,530","8,170","4,692","1,014","3,815","6,920","19,025","7,616","3,795","2,184",8.30%,40.0,41.0,52.0
190,"St. Joseph County, Indiana","117,318",394,"5,206","18,400","3,505","14,897","5,110","1,299","5,545","8,544","33,593","12,332","5,257","3,236",7.80%,"123,580",582,"5,278","23,380","3,462","13,942","3,615","3,273","5,761","10,661","35,210","10,000","4,947","3,469",9.90%,"128,512",684,"5,615","22,437","2,828","13,571","4,697","1,792","7,524","8,805","39,745","10,574","6,433","3,807",13.30%,41.0,45.0,52.0
191,"Tippecanoe County, Indiana","81,865","1,160","3,737","9,772","1,515","10,201","1,784","1,028","4,002","5,056","28,163","9,417","3,702","2,328",4.90%,"94,641",976,"4,826","17,145","2,112","11,217","2,698","1,435","4,084","6,023","30,673","8,883","2,978","1,591",8.60%,"99,284",872,"3,448","17,913","1,099","8,472","3,322","1,041","3,691","7,213","34,734","11,162","4,004","2,313",9.00%,33.0,38.0,52.0
192,"Vanderburgh County, Indiana","86,691","1,008","5,562","15,224","1,872","11,868","4,961","2,152","5,059","5,813","19,153","7,537","4,769","1,713",4.40%,"87,789",768,"5,084","14,095","3,046","10,895","4,056","2,297","4,893","8,416","18,131","9,640","4,020","2,448",7.10%,"89,863",246,"5,721","12,911","2,174","9,943","4,937","2,311","3,601","7,609","21,223","13,036","4,408","1,743",7.40%,41.0,46.0,56.0
193,"Vigo County, Indiana","46,921",304,"3,275","6,577",783,"6,525","1,605",447,"2,121","4,050","12,955","3,767","2,241","2,271",7.20%,"46,484",343,"3,411","7,594",970,"5,823","1,712",440,"2,393","2,915","12,193","5,390","1,728","1,572",16.60%,"47,903",802,"2,399","8,985",765,"5,993","1,925",201,"2,301","2,063","14,163","4,403","1,197","2,706",17.60%,45.0,44.0,52.0
194,"Black Hawk County, Iowa","65,338",395,"2,947","12,551","2,088","8,361","2,953","1,069","4,321","4,609","15,624","5,358","3,294","1,768",5.90%,"69,138","1,121","2,900","13,047","1,832","9,122","2,618",977,"3,570","5,131","18,609","6,449","2,771",991,11.60%,"68,573",969,"3,578","11,269","1,336","8,256","3,153",979,"4,049","5,837","18,354","5,880","3,168","1,745",11.20%,31.0,49.0,41.0
195,"Johnson County, Iowa","72,153","1,010","2,215","4,505","1,775","7,308","2,483","1,020","4,669","5,829","29,261","8,083","2,878","1,117",2.50%,"83,017",994,"3,839","6,252",709,"8,939","2,410","1,043","4,969","6,348","35,003","8,327","2,715","1,469",9.60%,"84,995","2,542","2,921","8,441","1,610","8,206","2,609","1,122","3,373","5,892","35,901","7,959","2,096","2,323",9.90%,35.0,36.0,51.0
196,"Linn County, Iowa","112,119",645,"6,608","19,584","3,656","13,605","4,872","3,953","9,683","10,846","23,370","8,270","4,666","2,361",3.40%,"117,437",873,"7,202","18,762","2,718","15,847","6,955","4,038","8,192","11,321","26,084","7,227","5,265","2,953",9.00%,"120,018","1,419","7,973","20,415","2,550","13,858","8,890","2,218","9,120","10,787","27,574","9,241","3,265","2,708",9.50%,39.0,41.0,47.0
197,"Polk County, Iowa","229,522","3,327","13,158","17,356","6,695","24,135","9,194","5,450","41,267","21,388","47,110","20,628","9,692","10,122",6.00%,"248,032","3,146","17,282","22,384","5,767","27,193","10,429","4,924","35,833","25,663","55,244","21,592","9,969","8,606",13.60%,"259,751","2,734","16,103","25,201","6,421","29,322","11,812","4,578","38,836","27,478","53,147","21,264","11,881","10,974",10.30%,39.0,36.0,41.0
198,"Pottawattamie County, Iowa","47,854",777,"3,961","4,435","1,440","5,487","4,307","1,346","3,865","3,428","10,829","4,523","1,981","1,475",4.90%,"47,487","1,211","3,736","5,842","2,156","5,858","3,221",914,"3,288","3,567","10,315","3,542","2,277","1,560",8.90%,"46,586",646,"4,033","4,154","1,447","5,157","3,151","1,291","3,995","4,050","11,258","4,052","1,845","1,507",11.40%,29.0,32.0,29.0
199,"Scott County, Iowa","79,831",929,"4,314","12,850","3,066","9,498","3,880","1,358","5,461","6,177","17,984","6,876","3,821","3,617",6.30%,"84,327",888,"6,102","15,410","2,345","9,078","3,950","1,446","5,417","6,541","18,302","9,457","2,778","2,613",8.40%,"85,653",667,"6,611","13,880","2,644","9,316","4,469",975,"5,318","8,959","18,778","8,221","2,710","3,105",9.40%,45.0,56.0,56.0
201,"Woodbury County, Iowa","50,225","1,431","3,615","9,063","1,345","6,684","1,990","1,264","3,205","3,223","11,091","3,870","2,057","1,387",5.70%,"52,168",968,"3,155","9,956","1,628","6,595","2,974",601,"3,467","3,259","9,510","6,480","1,887","1,688",11.30%,"53,362","1,293","2,739","10,756","1,864","5,924","2,144",823,"2,529","3,130","12,527","5,327","2,551","1,755",11.90%,28.0,28.0,34.0
203,"Johnson County, Kansas","290,308","1,749","13,489","23,445","11,660","33,595","10,715","12,121","29,022","44,028","65,263","23,949","13,455","7,817",3.80%,"312,737","1,587","13,614","25,071","11,991","33,291","11,444","11,848","32,163","52,417","71,250","23,428","13,345","11,288",9.00%,"332,024",814,"18,502","24,757","8,762","34,484","14,359","10,208","31,023","56,712","77,748","30,162","13,521","10,972",7.20%,36.0,35.0,40.0
206,"Sedgwick County, Kansas","233,995","2,077","15,153","44,527","7,432","25,753","9,645","4,078","11,894","18,691","53,526","21,813","9,909","9,497",4.10%,"243,672","2,337","16,695","45,520","5,830","31,538","9,168","5,080","11,216","21,186","54,868","22,850","11,183","6,201",9.60%,"253,334","2,353","19,118","46,228","6,715","25,658","10,237","2,981","12,077","23,762","61,031","24,552","11,846","6,776",10.80%,39.0,40.0,44.0
207,"Shawnee County, Kansas","83,890",616,"3,967","5,455","1,871","12,886","3,917","1,550","5,682","7,919","19,613","7,324","4,498","8,592",3.00%,"83,877",309,"5,184","7,652","1,115","9,306","4,486","1,589","7,344","6,735","23,041","6,667","4,245","6,204",10.00%,"89,706",759,"6,691","10,077","2,038","9,671","4,856","1,206","7,311","6,414","22,094","6,996","3,801","7,792",14.10%,41.0,36.0,40.0
208,"Wyandotte County, Kansas","66,582",274,"6,874","9,295","1,746","6,869","4,179",905,"3,638","6,569","13,345","6,951","2,038","3,899",5.70%,"75,726",270,"8,134","9,041","2,885","8,681","5,945",889,"3,513","8,422","13,252","6,704","4,370","3,620",7.50%,"76,582",407,"8,092","10,214","2,864","7,181","5,509",738,"4,502","10,581","13,416","7,204","2,768","3,106",10.70%,41.0,45.0,43.0
209,"Boone County, Kentucky","59,373",396,"2,977","7,868","2,100","7,242","5,871","1,436","3,999","5,286","12,362","5,223","2,067","2,546",3.70%,"65,245",250,"3,338","10,033","2,399","8,343","5,867","1,195","4,806","6,508","10,156","6,405","3,000","2,945",9.20%,"72,238",268,"3,585","11,316","2,867","9,819","5,665",763,"5,020","7,165","14,971","5,970","2,060","2,769",9.80%,39.0,39.0,42.0
210,"Bullitt County, Kentucky","35,090",177,"2,913","5,650","1,493","4,326","3,898",423,"2,155","2,784","6,367","2,097","1,265","1,542",6.90%,"37,153",449,"1,476","6,198","1,532","5,504","4,118","1,250","2,525","2,516","6,611","1,779","1,939","1,256",10.70%,"42,579",241,"3,236","6,106","1,742","5,375","5,174",795,"3,053","4,100","6,571","2,558","1,473","2,155",6.50%,41.0,39.0,49.0
211,"Campbell County, Kentucky","43,946",435,"2,756","4,792",680,"5,271","2,718",882,"3,498","4,060","11,417","3,500","1,737","2,200",6.40%,"46,781",420,"1,876","5,684",975,"5,643","1,872",808,"4,693","4,340","12,822","4,161","2,208","1,279",9.70%,"48,359",0,"3,158","4,974","2,180","5,151","1,475",784,"4,454","7,025","11,559","3,823","1,112","2,664",7.50%,40.0,43.0,47.0
214,"Fayette County, Kentucky","150,665","4,387","6,827","12,688","3,408","16,689","4,290","3,513","6,932","15,125","45,586","17,282","8,627","5,311",3.10%,"162,221","2,821","7,937","14,908","3,224","20,467","3,748","3,213","7,130","19,449","46,100","18,338","8,870","6,016",7.20%,"166,533","2,852","8,106","14,761","4,031","21,505","5,485","1,468","9,415","16,494","50,641","18,124","7,583","6,068",8.50%,42.0,39.0,48.0
216,"Jefferson County, Kentucky","341,851",21,"14,235","35,256","10,614","35,956","25,353","11,131","27,397","34,655","84,923","34,351","18,040","9,919",5.10%,"375,008","2,106","18,551","43,154","11,616","40,907","27,424","6,656","29,539","35,670","91,354","37,918","18,775","11,338",13.30%,"382,639","1,478","20,133","45,010","9,194","42,304","32,802","5,509","26,899","40,110","93,336","37,266","18,356","10,242",11.30%,49.0,49.0,44.0
220,"Warren County, Kentucky","52,042",413,"2,937","6,517","1,272","8,303","2,289",987,"1,907","3,703","14,817","5,108","2,216","1,573",8.60%,"56,640",673,"4,018","8,887","1,243","6,618","2,806","1,185","2,741","4,409","13,333","6,885","2,005","1,837",7.90%,"68,799",802,"3,495","9,447","2,418","8,927","3,620",237,"2,887","6,095","18,076","8,839","2,516","1,440",8.70%,40.0,38.0,44.0
221,"Androscoggin County, Maine","49,715",352,"4,181","4,911","2,486","7,814","2,057",866,"3,291","4,604","14,407","1,930","1,155","1,661",4.00%,"54,658",828,"3,569","5,873","1,533","7,060","2,408","1,128","4,096","5,021","15,228","3,858","2,063","1,993",8.20%,"56,964",771,"4,433","5,822","1,710","7,234","2,173","1,051","4,135","5,169","15,502","4,029","2,726","2,209",5.90%,31.0,36.0,34.0
222,"Aroostook County, Maine","31,599","1,467",991,"3,608",901,"4,520","1,202",606,"1,098","1,910","9,950","2,255","1,218","1,873",5.00%,"29,939","1,912","1,681","3,076",377,"3,361","2,101",537,"1,293","1,323","8,925","2,230","1,483","1,640",4.50%,"28,304","1,827","1,865","2,545",125,"3,170","2,119",321,"1,360","1,558","9,149","1,303","1,118","1,844",8.40%,34.0,37.0,33.0
223,"Cumberland County, Maine","150,577","1,669","7,873","10,215","4,481","17,314","5,094","3,613","13,500","17,526","44,564","13,798","6,344","4,586",3.90%,"156,642","1,909","9,251","11,972","4,390","18,749","5,443","4,117","13,568","18,582","42,830","13,829","8,285","3,717",8.50%,"165,142","2,248","10,230","12,665","3,527","19,171","5,886","3,453","15,556","22,291","47,043","13,551","4,958","4,563",9.20%,39.0,38.0,37.0
224,"Kennebec County, Maine","58,096",618,"3,701","5,383","1,165","7,807","2,706","1,816","2,423","5,116","15,365","3,660","3,097","5,239",4.30%,"57,796",970,"4,263","4,564","1,309","8,377","1,920",688,"2,536","4,057","16,729","4,106","2,612","5,665",5.20%,"62,956","1,729","5,390","5,086","1,215","8,526","2,189","1,045","2,342","4,430","18,994","4,673","2,038","5,299",5.10%,28.0,35.0,36.0
225,"Penobscot County, Maine","74,367","1,754","4,237","4,616","2,071","9,536","3,244","1,321","3,702","5,753","24,796","7,433","2,842","3,062",5.40%,"68,454","1,226","4,177","4,068",851,"11,344","3,297","1,031","3,175","4,411","23,825","5,335","3,096","2,618",7.30%,"75,163","1,571","6,466","3,747","1,542","10,793","2,826","1,286","2,529","3,977","25,711","7,927","3,408","3,380",6.90%,31.0,37.0,34.0
226,"York County, Maine","98,653","1,069","6,792","12,472","2,488","12,553","4,336","1,471","7,288","8,890","24,926","8,030","4,405","3,933",3.40%,"105,884","1,544","8,682","13,213","2,039","12,860","2,879","2,504","7,716","8,338","26,765","11,699","3,746","3,899",6.10%,"109,268","1,760","7,864","11,684","2,360","13,976","4,567","1,031","6,764","9,943","27,301","10,844","5,962","5,212",10.90%,38.0,40.0,36.0
227,"Anne Arundel County, Maryland","271,502",725,"18,854","17,226","7,482","30,011","11,091","6,267","17,671","38,785","52,913","19,627","14,008","36,842",5.60%,"288,276",483,"20,741","13,626","9,471","30,296","12,160","5,912","14,586","43,868","56,155","26,931","14,316","39,731",14.50%,"294,904","2,182","22,334","14,832","5,798","25,887","12,443","3,793","15,043","54,568","60,653","20,550","16,747","40,074",14.30%,45.0,44.0,48.0
228,"Baltimore County, Maryland","402,467","1,134","21,815","22,328","9,439","42,428","19,564","9,435","37,367","45,231","112,151","28,635","18,309","34,631",5.60%,"418,209",924,"24,749","22,738","9,976","48,140","18,881","9,787","30,264","55,195","110,070","37,744","19,725","30,016",11.70%,"427,632","1,663","22,536","21,105","9,873","40,685","22,682","5,956","31,868","55,990","118,990","39,055","23,039","34,190",14.90%,43.0,42.0,44.0
229,"Carroll County, Maryland","88,602",555,"8,805","6,660","2,524","11,631","2,576","2,498","5,619","9,839","21,387","5,190","5,063","6,255",4.50%,"86,245","1,034","7,027","5,930","2,506","8,317","3,635","2,540","6,002","10,120","19,254","5,901","4,871","9,108",9.00%,"88,039",775,"8,768","4,775","2,509","8,388","3,390","1,141","6,239","11,242","23,488","5,985","4,160","7,179",9.40%,43.0,43.0,46.0
