County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Baldwin County, Alabama","96,012","1,295","8,529","8,791","1,543","15,006","3,785","1,715","7,520","7,842","21,683","9,347","3,268","5,688",,14.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,37.90%,56.70%,26.70%,29.50%,13.50%,13.50%,17.80%,43.50%,31.90%,41.10%,81.20%,11.60%,23.70%,35.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.00%,0.00%,0.00%,0.00%,0.00%,5.20%,0.00%,5.00%,8.70%,18.00%,10.50%,65.90%,44.30%,45.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.60%,11.50%,7.90%,6.80%,64.30%,61.50%,18.80%,27.80%,57.70%,25.50%,7.20%,20.20%,7.60%,13.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.20%,29.40%,65.50%,3.00%,0.00%,7.10%,0.90%,23.80%,0.60%,1.50%,0.30%,0.90%,23.00%,0.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.30%,2.40%,0.00%,60.70%,22.20%,12.70%,62.50%,0.00%,1.10%,13.90%,0.90%,1.40%,1.40%,4.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Calhoun County, Alabama","45,641","1,012","2,022","7,044","1,107","6,165","2,740",630,"1,923","3,555","8,881","4,813","2,231","3,518",,10.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,28.20%,36.60%,11.10%,21.40%,0.00%,9.20%,5.50%,18.90%,32.70%,45.30%,65.80%,8.50%,11.70%,33.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.20%,0.00%,0.00%,2.20%,0.00%,3.90%,0.00%,31.00%,3.40%,19.40%,15.50%,68.10%,60.70%,27.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.60%,3.80%,0.00%,7.20%,50.10%,60.80%,11.80%,50.20%,55.00%,24.00%,16.80%,23.40%,16.10%,11.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.60%,11.60%,87.40%,6.50%,0.00%,6.10%,18.60%,0.00%,5.30%,0.00%,0.50%,0.00%,3.90%,13.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,21.30%,48.10%,1.40%,62.80%,49.90%,20.00%,64.00%,0.00%,3.50%,11.40%,1.50%,0.00%,7.60%,14.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
