County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
"Cullman County, Alabama","36,439",399,"4,106","5,282",613,"4,847","2,756",380,"1,738","1,937","9,044","2,642","1,808",887,,8.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.70%,9.00%,10.90%,18.10%,33.40%,2.70%,3.20%,60.80%,36.80%,47.00%,59.60%,14.70%,44.60%,67.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.00%,0.00%,0.00%,2.20%,0.00%,6.60%,0.00%,0.00%,1.40%,31.80%,26.90%,75.40%,8.00%,18.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.00%,0.00%,5.10%,6.70%,41.90%,66.60%,30.70%,25.50%,58.60%,13.60%,9.80%,8.10%,13.70%,1.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,15.00%,81.20%,77.40%,9.30%,8.00%,7.70%,11.90%,13.70%,0.50%,5.30%,0.50%,0.00%,25.90%,4.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.40%,9.80%,6.60%,63.70%,16.60%,16.40%,54.20%,0.00%,2.80%,2.40%,3.30%,1.80%,7.70%,8.20%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"DeKalb County, Alabama","32,544",852,"1,639","9,052","1,637","2,214","2,374",458,"1,251","2,701","6,406","1,610","1,814",536,,14.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,25.10%,73.50%,5.60%,12.40%,7.90%,1.10%,4.50%,17.20%,30.80%,33.70%,63.10%,5.50%,24.10%,25.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.30%,12.10%,0.00%,1.90%,0.00%,4.20%,20.90%,0.00%,0.00%,42.90%,28.40%,73.80%,23.80%,30.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,16.30%,0.00%,0.00%,4.20%,48.30%,71.40%,13.70%,7.00%,64.90%,3.90%,5.20%,20.00%,21.10%,44.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.80%,14.40%,90.80%,4.80%,0.00%,10.40%,15.30%,75.80%,4.30%,2.50%,0.00%,0.00%,23.00%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,30.40%,0.00%,3.60%,76.60%,43.80%,12.80%,45.60%,0.00%,0.00%,17.00%,3.20%,0.70%,8.00%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Elmore County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,9.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Etowah County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Houston County, Alabama","43,516",623,"2,264","3,702","2,235","6,459","3,566",464,"1,888","3,219","10,124","4,966","2,045","1,961",,9.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.10%,54.70%,24.20%,17.60%,10.40%,8.30%,28.50%,56.50%,45.30%,42.40%,63.70%,11.20%,25.40%,31.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,21.20%,0.00%,0.00%,1.10%,1.80%,6.30%,1.20%,11.00%,2.90%,32.20%,21.70%,72.40%,39.90%,47.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.40%,3.50%,4.30%,10.20%,29.20%,70.00%,16.40%,23.90%,48.10%,14.40%,11.70%,13.80%,13.50%,15.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.50%,41.70%,64.20%,7.90%,22.30%,2.80%,13.20%,5.60%,0.90%,5.60%,0.70%,0.00%,10.30%,3.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,14.80%,0.00%,7.30%,63.10%,36.20%,12.60%,40.70%,3.00%,2.80%,5.50%,2.20%,2.60%,10.90%,1.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Jefferson County, Alabama","305,647","1,109","12,491","32,620","9,375","31,752","15,393","5,057","23,526","35,677","78,297","29,352","17,315","13,683",,14.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,41.20%,11.50%,32.20%,21.00%,22.10%,14.20%,20.70%,41.10%,57.20%,49.70%,69.80%,16.80%,36.40%,45.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.20%,11.90%,0.00%,1.10%,3.20%,2.30%,1.50%,5.00%,3.90%,18.70%,17.80%,65.50%,31.20%,31.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.80%,12.40%,6.40%,10.00%,36.70%,62.20%,25.30%,43.90%,37.00%,15.50%,10.30%,12.80%,7.90%,19.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.00%,31.90%,57.40%,6.20%,6.40%,4.90%,4.10%,10.00%,1.30%,4.70%,0.60%,0.70%,14.40%,1.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,14.80%,32.20%,3.90%,61.60%,31.60%,16.40%,48.40%,0.00%,0.60%,11.40%,1.50%,4.20%,10.10%,2.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Lauderdale County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,14.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Lee County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Limestone County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,11.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Madison County, Alabama","187,518",847,"9,723","20,228","2,069","19,293","6,432","2,883","8,256","37,578","36,515","17,436","8,656","17,602",,10.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,47.30%,50.30%,21.50%,36.90%,37.90%,9.30%,14.60%,62.40%,45.30%,70.60%,65.20%,23.50%,37.30%,67.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.10%,0.00%,0.00%,0.70%,0.00%,6.50%,1.70%,1.90%,5.20%,14.60%,21.70%,60.00%,25.30%,22.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,18.00%,0.00%,2.30%,12.60%,51.90%,63.30%,23.80%,23.50%,46.60%,7.30%,10.70%,13.80%,17.50%,5.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.30%,49.70%,66.80%,0.40%,4.30%,2.60%,14.00%,10.30%,2.90%,2.80%,0.30%,0.20%,15.50%,1.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.40%,0.00%,9.30%,49.40%,5.80%,18.20%,45.80%,1.90%,0.00%,4.80%,2.00%,2.50%,4.30%,2.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Marshall County, Alabama","41,717",848,"3,879","10,534",890,"4,608","1,507",696,"1,211","3,582","7,071","3,448","2,165","1,278",,11.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.90%,75.40%,10.90%,15.90%,10.90%,11.90%,5.00%,70.70%,41.50%,39.30%,60.30%,28.40%,25.50%,64.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.40%,0.00%,0.00%,3.80%,0.00%,0.40%,0.60%,0.00%,3.20%,36.30%,23.20%,50.60%,48.50%,16.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.50%,1.70%,10.30%,5.50%,55.30%,70.90%,5.20%,27.30%,48.10%,12.50%,13.90%,20.00%,10.30%,14.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.50%,12.30%,58.50%,7.20%,6.50%,3.60%,7.60%,2.00%,7.20%,0.40%,0.80%,0.00%,11.90%,4.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,25.70%,10.70%,20.20%,67.50%,27.30%,13.20%,81.50%,0.00%,0.00%,11.50%,1.80%,0.90%,3.80%,0.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Mobile County, Alabama","177,379","2,220","16,365","19,201","5,180","19,790","11,509","1,361","9,083","17,308","40,716","15,804","10,200","8,642",,11.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.70%,23.50%,22.90%,26.40%,18.30%,4.50%,13.10%,41.20%,49.10%,48.20%,62.30%,22.20%,37.70%,33.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.30%,0.00%,1.20%,0.00%,0.00%,8.20%,2.30%,0.00%,6.20%,21.30%,21.60%,60.50%,31.20%,32.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.70%,16.40%,4.60%,7.70%,42.80%,60.30%,13.90%,22.60%,38.30%,22.20%,11.30%,15.90%,13.80%,25.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.30%,35.30%,65.70%,11.80%,5.20%,2.50%,14.60%,36.10%,1.80%,3.10%,2.20%,0.00%,12.30%,5.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.00%,24.90%,5.60%,54.20%,33.70%,24.50%,56.10%,0.00%,4.60%,5.20%,2.60%,1.40%,5.00%,3.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Montgomery County, Alabama","104,491",603,"5,160","11,434","2,170","10,229","5,208","1,033","7,195","11,857","23,855","9,679","5,771","10,297",,10.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.50%,52.90%,18.20%,26.80%,14.60%,8.40%,10.40%,83.30%,46.50%,39.40%,68.20%,17.90%,39.30%,49.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.90%,0.00%,0.00%,3.20%,0.00%,8.20%,4.30%,0.00%,5.40%,14.30%,18.60%,53.10%,28.30%,18.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.50%,11.60%,1.70%,9.10%,39.80%,62.70%,23.50%,13.90%,38.80%,28.30%,8.10%,28.10%,14.50%,29.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,5.20%,19.60%,68.10%,3.00%,1.80%,0.40%,3.50%,2.70%,0.90%,1.60%,1.10%,0.00%,8.50%,1.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.90%,15.90%,11.90%,58.00%,43.90%,20.30%,58.30%,0.00%,8.50%,16.40%,4.00%,0.90%,9.40%,1.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Morgan County, Alabama","53,551",260,"4,239","11,760","1,700","5,907","2,500","1,050","1,978","4,703","10,215","5,252","2,578","1,409",,9.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,31.70%,43.80%,6.30%,16.70%,10.80%,13.60%,28.30%,77.70%,41.90%,56.30%,58.10%,24.40%,32.00%,41.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.90%,0.00%,0.00%,1.00%,0.00%,3.70%,7.30%,0.00%,4.40%,16.70%,28.20%,47.00%,29.40%,32.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.40%,0.00%,8.50%,3.60%,69.80%,62.20%,3.40%,5.60%,46.00%,14.50%,10.00%,26.30%,15.00%,15.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.40%,41.50%,68.50%,6.40%,4.80%,8.30%,1.80%,16.70%,7.70%,3.00%,0.80%,0.00%,18.80%,10.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,23.70%,14.60%,16.70%,72.30%,14.60%,12.20%,59.20%,0.00%,0.00%,9.40%,2.90%,2.30%,4.80%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"St. Clair County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,15.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Shelby County, Alabama","110,000",861,"6,843","8,781","4,607","10,612","6,210","2,452","11,909","12,709","24,537","8,983","7,780","3,716",,13.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,49.70%,38.00%,39.40%,33.70%,29.40%,16.50%,44.60%,60.00%,56.10%,68.10%,76.50%,30.70%,35.40%,46.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.20%,0.00%,5.40%,0.20%,0.00%,0.80%,0.00%,11.80%,1.70%,12.50%,12.90%,56.30%,29.30%,38.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.00%,5.30%,10.70%,13.80%,50.70%,53.60%,22.90%,19.10%,39.90%,16.60%,7.80%,10.50%,12.40%,13.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.50%,56.70%,40.60%,9.20%,2.80%,9.50%,4.90%,3.30%,2.00%,0.70%,0.80%,0.30%,12.30%,0.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.60%,0.00%,3.80%,43.10%,17.10%,19.60%,27.50%,5.80%,0.30%,2.10%,2.00%,2.20%,10.60%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Talladega County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Tuscaloosa County, Alabama","96,130","1,988","7,439","12,451","2,860","11,292","3,895","1,921","5,394","5,923","27,581","9,336","2,794","3,256",,12.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,36.40%,4.00%,15.80%,19.90%,5.10%,7.70%,8.70%,51.90%,52.30%,45.50%,71.30%,19.80%,17.00%,42.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.20%,0.00%,0.00%,0.70%,0.00%,2.10%,0.00%,5.40%,6.40%,24.60%,11.90%,53.80%,45.80%,26.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.10%,1.50%,7.60%,4.50%,63.70%,65.90%,24.20%,15.10%,27.40%,24.40%,12.90%,20.40%,23.70%,17.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.40%,86.40%,56.40%,6.10%,2.10%,4.50%,3.50%,27.60%,11.80%,0.30%,2.10%,4.40%,7.90%,5.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.00%,8.10%,20.30%,68.70%,29.10%,19.80%,63.60%,0.00%,2.10%,5.20%,1.90%,1.50%,5.50%,8.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Walker County, Alabama",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,18.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Anchorage Municipality, Alaska","143,024","3,464","7,901","4,394","3,993","17,138","13,105","2,640","7,020","16,907","33,851","13,484","7,505","11,622",,11.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,41.00%,52.10%,26.10%,41.40%,30.90%,4.70%,11.30%,41.90%,45.50%,57.60%,70.80%,14.50%,31.20%,60.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.30%,0.00%,0.50%,1.60%,0.00%,4.00%,5.70%,3.10%,0.70%,17.50%,19.10%,66.60%,32.80%,18.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.70%,6.90%,11.80%,6.80%,39.10%,64.20%,26.50%,33.20%,34.90%,12.00%,8.90%,15.80%,16.60%,15.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.60%,35.50%,55.00%,8.90%,6.70%,1.10%,11.20%,11.10%,9.10%,4.60%,0.00%,0.00%,14.10%,1.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.50%,5.50%,6.60%,41.40%,23.30%,25.90%,45.30%,10.70%,9.70%,8.20%,1.20%,3.00%,5.40%,3.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Fairbanks North Star Borough, Alaska","43,756","1,581","3,486",945,654,"2,688","5,575","1,299","2,888","2,656","11,560","3,045","2,124","5,255",,10.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,41.00%,30.80%,36.80%,64.10%,19.10%,8.30%,24.10%,43.20%,23.00%,57.60%,66.40%,13.10%,41.80%,41.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.70%,5.40%,0.00%,0.00%,0.00%,0.00%,2.90%,0.00%,4.80%,15.20%,17.80%,79.60%,28.20%,27.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.10%,9.90%,13.10%,0.00%,49.80%,75.90%,17.50%,29.30%,52.50%,20.20%,10.10%,3.30%,7.80%,18.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.30%,41.40%,50.10%,8.80%,3.70%,2.80%,13.70%,27.50%,19.70%,0.00%,1.70%,3.00%,15.50%,0.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.90%,12.50%,0.00%,27.10%,27.40%,13.00%,41.80%,0.00%,0.00%,7.00%,3.90%,1.10%,6.70%,12.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
