County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,PERCENT IMPUTED!!Industry
"Larimer County, Colorado","174,576","4,205","12,999","18,257","3,685","19,056","3,835","3,821","9,051","20,089","46,304","18,273","8,015","6,986",,14.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,44.60%,41.90%,25.30%,51.70%,22.00%,11.80%,12.80%,52.40%,46.30%,68.00%,70.10%,14.80%,19.30%,45.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.00%,1.70%,0.00%,4.00%,0.70%,2.20%,3.30%,4.40%,2.30%,13.60%,15.20%,65.70%,46.40%,34.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.50%,11.10%,8.30%,13.20%,64.70%,70.10%,27.90%,30.90%,46.70%,12.10%,12.60%,13.10%,15.10%,16.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.70%,35.70%,62.70%,2.10%,2.20%,4.00%,8.00%,2.70%,2.90%,3.30%,0.30%,0.20%,11.20%,2.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.30%,9.60%,3.70%,29.00%,10.30%,11.90%,48.00%,9.50%,1.80%,3.00%,1.70%,6.20%,8.00%,1.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Mesa County, Colorado","69,184","4,525","5,062","2,947","1,798","9,727","3,407","1,228","3,821","6,834","16,677","6,471","3,751","2,936",,11.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.60%,41.80%,24.80%,35.40%,21.90%,12.20%,12.70%,48.90%,30.70%,44.30%,61.10%,16.60%,19.80%,55.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.00%,0.20%,0.00%,0.00%,0.00%,1.90%,0.00%,9.00%,4.80%,22.80%,26.60%,65.30%,29.30%,21.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.70%,3.60%,3.60%,17.10%,61.50%,68.50%,21.40%,36.70%,59.80%,23.00%,9.80%,13.40%,7.80%,22.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.60%,40.00%,69.50%,2.70%,0.00%,1.10%,10.80%,5.40%,1.00%,2.50%,0.10%,1.50%,27.70%,1.30%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.10%,14.40%,2.10%,44.80%,16.60%,16.30%,55.00%,0.00%,3.70%,7.40%,2.40%,3.20%,15.50%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Pueblo County, Colorado","65,558",868,"5,408","5,538","1,498","8,783","3,242","1,335","2,588","6,082","17,331","6,051","2,864","3,970",,6.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.40%,24.80%,17.20%,19.50%,11.10%,6.60%,7.50%,46.30%,34.30%,41.00%,61.20%,20.90%,22.70%,38.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.30%,7.30%,0.00%,2.80%,0.00%,1.70%,0.60%,4.30%,2.90%,12.80%,23.50%,58.20%,22.00%,46.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,27.10%,0.00%,2.40%,9.20%,61.20%,81.60%,21.30%,43.70%,62.80%,25.70%,13.40%,19.20%,24.80%,10.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.30%,63.00%,75.30%,10.20%,8.10%,1.20%,12.00%,3.00%,0.00%,7.30%,0.20%,0.00%,6.80%,5.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.80%,5.00%,5.10%,58.30%,19.60%,8.90%,58.60%,2.70%,0.00%,13.20%,1.60%,1.80%,23.70%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Weld County, Colorado","139,270","11,026","11,832","14,920","4,208","15,360","8,065","2,013","7,454","13,018","27,261","11,175","7,708","5,230",,23.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,33.70%,29.60%,16.90%,24.00%,28.20%,8.80%,19.00%,64.00%,48.00%,52.40%,62.90%,15.20%,18.20%,40.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.70%,4.20%,1.30%,2.10%,4.10%,0.60%,2.00%,0.00%,0.90%,11.10%,24.90%,69.40%,37.30%,28.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.60%,7.90%,5.70%,15.80%,44.50%,73.80%,22.80%,16.10%,49.50%,27.50%,10.10%,10.10%,15.00%,23.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,13.20%,43.20%,71.90%,3.20%,5.60%,5.40%,8.20%,19.90%,1.10%,4.20%,0.60%,1.10%,16.20%,6.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,13.90%,15.10%,4.10%,54.90%,17.70%,11.30%,47.90%,0.00%,0.60%,4.70%,1.40%,4.20%,13.30%,1.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Fairfield County, Connecticut","472,541","1,230","32,647","36,494","13,647","48,596","16,876","13,077","56,905","74,382","108,393","36,241","22,153","11,900",,10.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,45.90%,58.10%,11.60%,47.10%,25.30%,12.30%,21.90%,64.10%,63.20%,60.00%,70.50%,22.90%,20.00%,31.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.90%,13.30%,1.50%,0.00%,0.00%,6.10%,0.60%,0.00%,2.60%,20.60%,19.20%,64.10%,50.00%,36.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.50%,6.60%,3.40%,17.80%,65.40%,70.10%,26.00%,28.80%,32.00%,14.20%,8.80%,10.70%,9.80%,25.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.90%,22.00%,81.40%,4.00%,2.60%,1.40%,4.00%,6.40%,1.30%,2.60%,0.50%,0.60%,10.00%,5.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,6.90%,0.00%,2.20%,31.10%,6.70%,10.10%,47.50%,0.80%,0.90%,2.70%,1.00%,1.70%,10.30%,0.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Hartford County, Connecticut","447,101",779,"21,207","48,782","11,190","46,390","19,086","10,139","53,005","49,105","120,701","28,620","17,201","20,896",,10.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,43.50%,14.20%,16.00%,38.50%,11.60%,11.60%,14.60%,61.50%,58.60%,57.40%,64.70%,21.00%,22.80%,44.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.90%,0.00%,1.20%,1.70%,1.60%,4.00%,1.10%,1.20%,1.30%,20.00%,22.70%,62.00%,36.60%,28.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.00%,15.10%,5.10%,14.40%,66.70%,68.50%,25.20%,24.20%,37.00%,17.10%,10.60%,14.90%,15.60%,22.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.20%,70.60%,72.10%,3.50%,1.90%,3.80%,9.10%,8.60%,1.90%,1.40%,0.60%,0.10%,14.10%,2.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.40%,0.00%,5.60%,41.90%,18.20%,12.20%,50.00%,4.60%,1.30%,4.00%,1.30%,2.00%,10.90%,2.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Litchfield County, Connecticut","96,620",981,"7,233","13,357","2,236","10,925","4,135","2,265","6,246","8,268","24,494","7,610","5,112","3,758",,8.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,39.60%,49.20%,22.20%,36.00%,20.60%,9.70%,6.60%,35.20%,59.30%,59.10%,66.40%,19.80%,16.30%,41.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.30%,11.10%,2.10%,1.20%,0.00%,7.00%,0.00%,0.00%,1.20%,19.10%,20.00%,62.40%,40.20%,31.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.60%,4.40%,6.20%,16.80%,51.50%,66.20%,14.00%,34.40%,38.30%,14.20%,11.70%,13.90%,19.60%,24.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.30%,9.40%,68.20%,6.10%,1.90%,8.60%,19.40%,26.70%,0.60%,4.40%,1.30%,1.10%,14.80%,3.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.30%,25.90%,1.30%,39.90%,26.00%,8.50%,60.00%,3.60%,0.60%,3.00%,0.60%,2.90%,9.00%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Middlesex County, Connecticut","87,621",381,"5,680","11,041","2,505","7,577","3,776","2,418","6,573","9,331","23,191","7,576","4,403","3,169",,10.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,45.00%,17.30%,19.00%,40.00%,21.50%,9.90%,17.90%,51.80%,56.10%,68.70%,70.70%,27.80%,19.20%,39.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.80%,72.70%,0.00%,2.90%,3.50%,5.20%,1.10%,0.00%,4.60%,14.40%,17.30%,56.10%,38.70%,35.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.00%,0.00%,6.20%,19.30%,59.80%,70.50%,26.70%,35.60%,39.30%,14.90%,10.90%,13.00%,19.00%,19.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.80%,10.00%,70.80%,6.50%,3.80%,2.10%,9.30%,12.50%,0.00%,2.00%,0.40%,0.80%,18.00%,1.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.30%,0.00%,4.00%,31.30%,11.30%,12.40%,44.90%,0.00%,0.00%,0.00%,0.70%,2.30%,5.10%,4.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"New Haven County, Connecticut","427,933",759,"24,749","45,742","11,792","50,251","17,585","9,469","27,994","43,271","127,298","31,964","20,382","16,677",,10.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,40.10%,46.20%,18.20%,30.70%,13.10%,10.30%,8.80%,55.40%,50.40%,57.30%,65.90%,19.90%,16.70%,39.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.80%,4.90%,0.00%,1.10%,0.00%,5.30%,1.60%,2.20%,5.10%,17.70%,19.20%,64.00%,37.50%,39.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.10%,39.80%,8.50%,15.60%,63.30%,69.80%,31.50%,30.20%,41.20%,18.50%,12.90%,12.30%,21.10%,16.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.30%,3.70%,70.80%,6.20%,3.00%,3.70%,7.90%,8.60%,2.30%,1.80%,1.00%,1.50%,14.20%,3.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.60%,5.40%,2.50%,46.30%,20.60%,10.90%,50.20%,3.50%,0.90%,4.80%,1.00%,2.40%,10.50%,0.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"New London County, Connecticut","131,346",713,"6,839","14,987","2,050","16,784","6,027","2,650","7,027","12,351","32,086","18,641","3,568","7,623",,9.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.50%,28.90%,24.10%,49.90%,14.50%,9.70%,19.10%,55.80%,41.80%,53.10%,63.40%,15.30%,9.70%,48.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,22.50%,0.00%,0.70%,1.80%,0.00%,4.30%,2.00%,9.70%,13.90%,22.20%,24.80%,66.60%,52.20%,28.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.50%,29.70%,4.40%,10.40%,63.80%,70.90%,18.30%,23.20%,44.00%,14.60%,8.20%,13.20%,7.50%,13.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.20%,30.20%,66.90%,9.70%,2.80%,5.40%,13.30%,11.20%,0.00%,2.20%,1.60%,3.10%,16.40%,7.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.10%,11.20%,4.00%,28.20%,18.90%,9.60%,47.30%,0.00%,0.30%,7.90%,2.00%,1.90%,14.20%,1.20%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Tolland County, Connecticut","83,087","1,023","5,595","10,603","1,535","8,069","3,127","1,089","7,277","7,399","22,351","8,687","3,514","2,818",,13.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,42.20%,17.10%,15.60%,44.90%,2.30%,15.90%,25.00%,49.10%,51.40%,67.50%,65.80%,16.50%,18.60%,38.30%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.40%,38.30%,0.90%,1.30%,0.00%,9.80%,1.60%,8.80%,0.40%,11.60%,16.80%,60.70%,46.60%,20.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.30%,7.30%,11.00%,14.70%,78.50%,55.70%,19.60%,36.30%,46.40%,16.20%,14.80%,20.80%,14.20%,37.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.00%,33.80%,70.30%,3.00%,3.10%,4.00%,19.40%,0.00%,0.50%,3.10%,0.60%,0.00%,17.10%,2.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.10%,3.40%,2.20%,36.10%,16.00%,14.60%,34.30%,5.80%,1.30%,1.60%,2.00%,2.00%,3.40%,1.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Windham County, Connecticut","60,849","1,283","4,277","6,991","1,509","8,451","2,684",955,"2,799","4,109","16,701","6,655","2,172","2,263",,7.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,33.30%,20.00%,6.30%,24.60%,3.60%,9.10%,28.10%,53.40%,58.80%,48.90%,64.10%,11.70%,6.50%,29.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.70%,6.10%,0.00%,1.70%,0.00%,4.90%,0.00%,0.00%,4.50%,31.00%,21.20%,72.10%,50.10%,24.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.00%,10.00%,3.90%,16.50%,68.60%,67.40%,35.90%,18.30%,33.40%,6.50%,11.40%,14.00%,17.60%,39.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.70%,64.00%,84.00%,10.40%,16.80%,2.00%,5.10%,25.80%,0.00%,4.50%,1.60%,1.30%,21.80%,6.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.20%,0.00%,5.90%,46.80%,11.10%,16.70%,30.90%,2.50%,3.30%,9.10%,1.60%,1.00%,3.90%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Kent County, Delaware","77,287",663,"4,846","6,156","1,660","11,187","2,423",842,"4,187","6,411","17,546","9,852","3,549","7,965",,9.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.00%,33.90%,13.80%,12.50%,15.80%,11.30%,7.10%,47.70%,40.60%,44.90%,61.60%,13.20%,24.20%,43.30%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,23.00%,0.00%,0.20%,8.10%,0.00%,3.90%,0.00%,0.00%,0.60%,23.50%,26.50%,75.10%,25.40%,29.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.80%,0.00%,5.40%,6.60%,20.20%,66.40%,20.80%,27.80%,53.80%,12.30%,7.40%,10.20%,27.00%,17.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.20%,43.10%,74.90%,12.90%,14.60%,4.00%,14.00%,22.10%,5.00%,7.30%,1.30%,0.00%,12.50%,7.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.80%,22.90%,5.60%,59.90%,49.30%,14.30%,58.00%,2.40%,0.00%,12.00%,3.20%,1.40%,10.90%,1.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"New Castle County, Delaware","278,333","1,609","14,238","20,612","3,625","31,585","12,388","4,720","35,631","31,891","73,151","26,879","11,504","10,500",,13.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,43.80%,16.80%,17.20%,47.10%,18.30%,13.60%,19.30%,35.40%,60.50%,51.60%,67.20%,15.80%,33.40%,50.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.10%,6.10%,0.50%,3.80%,0.00%,5.50%,4.30%,2.10%,3.70%,20.30%,19.40%,68.50%,38.40%,22.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.40%,0.00%,9.70%,14.40%,61.60%,68.10%,29.60%,44.90%,35.10%,19.70%,11.10%,12.80%,10.30%,22.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.50%,62.20%,68.80%,4.40%,2.30%,2.70%,9.20%,12.40%,0.10%,4.50%,0.90%,0.50%,11.40%,1.30%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,7.20%,14.90%,3.80%,30.40%,17.80%,10.20%,37.50%,5.30%,0.50%,3.80%,1.40%,2.50%,6.50%,2.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Sussex County, Delaware","91,896","2,834","9,774","9,496","2,077","12,057","3,104","1,197","3,921","7,022","21,075","8,641","5,283","5,415",,11.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.80%,26.90%,19.90%,18.40%,29.30%,9.50%,11.40%,20.90%,36.20%,59.20%,61.50%,36.20%,23.00%,42.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.90%,5.00%,0.20%,5.80%,3.90%,5.30%,0.70%,7.40%,5.60%,17.60%,23.90%,53.70%,38.00%,32.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.60%,8.30%,2.40%,9.80%,58.40%,71.60%,24.70%,26.10%,51.50%,16.70%,9.20%,8.40%,10.70%,19.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,13.90%,46.80%,74.10%,7.30%,3.60%,3.40%,5.60%,40.80%,6.70%,4.20%,0.80%,0.20%,25.50%,4.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.90%,13.10%,3.40%,58.70%,4.90%,10.30%,57.60%,4.80%,0.00%,2.20%,4.50%,1.50%,2.90%,1.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"District of Columbia, District of Columbia","361,179",195,"9,342","5,025","1,932","18,086","9,754","14,995","22,532","83,089","70,276","35,208","31,896","58,849",,14.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,61.80%,100.00%,26.50%,47.20%,26.40%,5.10%,23.30%,81.40%,59.50%,75.30%,71.70%,25.10%,64.90%,78.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.70%,0.00%,1.20%,8.40%,0.00%,8.90%,1.60%,2.00%,9.00%,11.50%,16.10%,58.20%,19.50%,7.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,17.00%,0.00%,6.20%,31.10%,53.50%,79.70%,30.40%,15.10%,25.60%,11.50%,10.10%,14.30%,11.80%,12.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,2.10%,0.00%,59.20%,0.00%,3.70%,0.20%,2.60%,0.40%,0.80%,0.30%,0.50%,0.30%,1.30%,0.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,3.40%,0.00%,6.90%,13.40%,16.40%,6.20%,42.00%,1.10%,5.10%,1.40%,1.60%,2.00%,2.50%,0.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Alachua County, Florida","121,517","2,321","4,113","3,648","1,411","11,846","4,131","2,353","6,775","12,737","48,243","13,431","6,111","4,397",,18.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,47.80%,34.00%,28.20%,32.00%,15.70%,14.10%,13.00%,40.10%,61.70%,60.80%,70.10%,17.50%,26.50%,42.30%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.30%,8.10%,1.10%,0.00%,0.00%,3.60%,0.00%,8.60%,1.50%,17.10%,17.40%,66.20%,29.80%,28.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.80%,5.00%,13.80%,19.10%,65.50%,74.10%,28.50%,45.40%,35.10%,16.60%,10.30%,12.60%,18.00%,21.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,5.10%,49.30%,53.10%,3.20%,0.00%,3.10%,11.00%,0.00%,1.70%,5.40%,0.20%,0.60%,14.40%,1.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,6.00%,3.70%,3.80%,45.70%,18.90%,5.10%,47.40%,5.90%,0.00%,0.10%,2.00%,3.00%,11.20%,6.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Bay County, Florida","82,156","1,128","5,895","5,167",795,"12,366","3,489","1,887","4,390","9,012","16,988","11,099","2,974","6,966",,15.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.10%,41.60%,20.90%,21.70%,0.00%,7.80%,7.90%,42.30%,42.50%,28.30%,67.40%,14.30%,33.00%,44.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,21.80%,0.00%,1.40%,2.50%,0.00%,3.40%,1.60%,0.00%,4.90%,37.90%,16.60%,67.50%,25.20%,36.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,26.00%,0.00%,7.80%,9.50%,78.00%,74.60%,13.90%,16.10%,47.60%,23.10%,14.00%,14.40%,25.20%,12.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.30%,26.20%,58.50%,16.80%,0.00%,5.50%,9.90%,29.20%,2.00%,4.30%,0.80%,2.80%,9.70%,4.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.70%,32.30%,11.50%,49.50%,22.00%,8.60%,66.80%,12.40%,3.00%,6.40%,1.30%,1.00%,7.00%,2.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Brevard County, Florida","241,881","1,734","14,811","23,135","4,722","32,561","9,928","4,166","10,700","33,393","53,964","27,101","13,225","12,441",,16.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,37.70%,42.30%,24.70%,51.70%,6.50%,6.80%,10.90%,49.80%,36.10%,56.00%,63.70%,16.90%,15.10%,45.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.50%,0.00%,0.60%,0.80%,3.90%,3.20%,2.10%,8.60%,7.90%,18.10%,21.10%,66.90%,47.70%,20.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,26.10%,0.00%,8.30%,13.30%,57.70%,76.60%,25.30%,20.00%,54.00%,19.30%,13.00%,13.10%,17.40%,22.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.90%,57.70%,62.60%,5.40%,8.50%,2.10%,8.40%,21.60%,0.00%,3.50%,0.70%,0.30%,15.30%,9.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.70%,0.00%,3.90%,28.90%,23.40%,11.30%,53.40%,0.00%,2.00%,3.20%,1.50%,2.80%,4.40%,2.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Broward County, Florida","942,614","3,776","61,573","44,318","31,793","129,294","55,380","23,085","68,595","133,002","192,476","109,793","51,951","37,578",,10.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.30%,14.30%,18.10%,31.20%,22.60%,13.10%,21.70%,53.60%,41.10%,48.00%,65.00%,20.20%,13.10%,34.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.90%,4.00%,0.40%,1.30%,1.30%,2.70%,2.10%,0.50%,4.20%,22.70%,21.00%,63.70%,43.70%,39.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,27.10%,0.00%,8.30%,19.90%,55.50%,70.70%,19.00%,32.10%,49.50%,22.50%,11.80%,12.00%,14.40%,21.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.70%,77.80%,72.00%,7.80%,3.10%,4.00%,7.50%,12.40%,3.30%,3.40%,0.60%,0.80%,15.30%,2.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.00%,3.90%,1.20%,39.80%,17.50%,9.60%,49.70%,1.40%,1.90%,3.50%,1.60%,3.30%,13.60%,2.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Charlotte County, Florida","61,895",277,"6,057","2,637","1,233","13,532","3,121","1,222","4,216","7,011","12,769","5,712","2,849","1,259",,10.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,26.00%,0.00%,13.50%,12.50%,0.00%,10.90%,12.20%,29.80%,27.00%,30.90%,56.20%,20.50%,19.30%,41.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.50%,13.40%,0.00%,0.00%,0.00%,4.50%,1.40%,0.00%,2.40%,41.30%,31.70%,53.90%,46.40%,43.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
